"status"	"attraction"	"money"
"Relationship"	"NotInterested"	86.33
"Relationship"	"NotInterested"	45.58
"Relationship"	"NotInterested"	68.43
"Relationship"	"NotInterested"	52.93
"Relationship"	"NotInterested"	61.86
"Relationship"	"NotInterested"	48.47
"Relationship"	"NotInterested"	32.79
"Relationship"	"NotInterested"	35.91
"Relationship"	"NotInterested"	30.98
"Relationship"	"NotInterested"	44.82
"Relationship"	"NotInterested"	35.05
"Relationship"	"NotInterested"	64.49
"Relationship"	"NotInterested"	54.5
"Relationship"	"NotInterested"	61.48
"Relationship"	"NotInterested"	55.51
"Relationship"	"NotInterested"	54.77
"Relationship"	"NotInterested"	45.01
"Relationship"	"NotInterested"	18.9
"Relationship"	"NotInterested"	46.65
"Relationship"	"NotInterested"	37.48
"Relationship"	"NotInterested"	81.9
"Relationship"	"NotInterested"	55.11
"Relationship"	"NotInterested"	55.92
"Relationship"	"NotInterested"	81.56
"Relationship"	"NotInterested"	30.87
"Relationship"	"Interested"	88.4
"Relationship"	"Interested"	83.65
"Relationship"	"Interested"	89.06
"Relationship"	"Interested"	107.43
"Relationship"	"Interested"	103.63
"Relationship"	"Interested"	87.51
"Relationship"	"Interested"	97.77
"Relationship"	"Interested"	99.5
"Relationship"	"Interested"	117.58
"Relationship"	"Interested"	80.91
"Relationship"	"Interested"	98.05
"Relationship"	"Interested"	89.1
"Relationship"	"Interested"	96.67
"Relationship"	"Interested"	69.29
"Relationship"	"Interested"	108.63
"Relationship"	"Interested"	121.52
"Relationship"	"Interested"	120.5
"Relationship"	"Interested"	91.69
"Relationship"	"Interested"	106.49
"Relationship"	"Interested"	75.44
"Relationship"	"Interested"	114.29
"Relationship"	"Interested"	111.85
"Relationship"	"Interested"	117.23
"Relationship"	"Interested"	87.17
"Relationship"	"Interested"	115.51
"Single"	"NotInterested"	46.58
"Single"	"NotInterested"	0.93
"Single"	"NotInterested"	50.11
"Single"	"NotInterested"	50.05
"Single"	"NotInterested"	52.5
"Single"	"NotInterested"	28.55
"Single"	"NotInterested"	47.01
"Single"	"NotInterested"	21.55
"Single"	"NotInterested"	42.95
"Single"	"NotInterested"	57.73
"Single"	"NotInterested"	40.54
"Single"	"NotInterested"	49.21
"Single"	"NotInterested"	73.75
"Single"	"NotInterested"	84.28
"Single"	"NotInterested"	12.12
"Single"	"NotInterested"	40.22
"Single"	"NotInterested"	13.28
"Single"	"NotInterested"	71.44
"Single"	"NotInterested"	31.01
"Single"	"NotInterested"	58.56
"Single"	"NotInterested"	71.11
"Single"	"NotInterested"	44.75
"Single"	"NotInterested"	55.7
"Single"	"NotInterested"	53.8
"Single"	"NotInterested"	52.42
"Single"	"Interested"	136.59
"Single"	"Interested"	139.91
"Single"	"Interested"	188.76
"Single"	"Interested"	179.39
"Single"	"Interested"	150.35
"Single"	"Interested"	163.61
"Single"	"Interested"	121.73
"Single"	"Interested"	200.99
"Single"	"Interested"	193.69
"Single"	"Interested"	138.74
"Single"	"Interested"	143.09
"Single"	"Interested"	167.46
"Single"	"Interested"	193.78
"Single"	"Interested"	178.54
"Single"	"Interested"	161.85
"Single"	"Interested"	143.08
"Single"	"Interested"	136.1
"Single"	"Interested"	133.51
"Single"	"Interested"	171.82
"Single"	"Interested"	178.39
"Single"	"Interested"	139.12
"Single"	"Interested"	143.56
"Single"	"Interested"	134.82
"Single"	"Interested"	152.4
"Single"	"Interested"	129.91
