id	text	date	genre	wordcount	ppcrelease	p	datems	pptw
1	albin-1736	1736	SCIENCE_OTHER	8837	PPCMBE-RELEASE-1	1467	1736	166.01
2	anon-1711	1711	EDUC_TREATISE	6092	PPCMBE-RELEASE-1	852	1711	139.86
3	austen-180x	1808	LETTERS_PRIV	9650	PPCMBE-RELEASE-1	1262	1808	130.78
4	bain-1878	1878	EDUC_TREATISE	9095	PPCMBE-RELEASE-1	1376	1878	151.29
5	barclay-1743	1743	EDUC_TREATISE	9422	PPCMBE-RELEASE-1	1373	1743	145.72
6	bardsley-1807	1807	SCIENCE_MEDICINE	7694	PPCMBE-RELEASE-1	1174	1807	152.59
7	benson-1908	1908	EDUC_TREATISE	9042	PPCMBE-RELEASE-1	1092	1908	120.77
8	benson-190x	1906	DIARY_PRIV	9986	PPCMBE-RELEASE-1	1190	1906	119.17
9	boethja-1897	1897	PHILOSOPHY	7935	PPCMBE-RELEASE-1	1055	1897	132.96
10	boethri-1785	1785	PHILOSOPHY	9173	PPCMBE-RELEASE-1	1197	1785	130.49
11	boswell-1776	1776	DIARY_PRIV	9887	PPCMBE-RELEASE-1	1344	1776	135.94
12	bradley-1905	1905	TRAVELOGUE	10292	PPCMBE-RELEASE-1	1587	1905	154.2
13	brightland-1711	1711	EDUC_TREATISE	1341	PPCMBE-RELEASE-1	200	1711	149.14
14	brougham-1861	1861	DRAMA_COMEDY	10049	PPCMBE-RELEASE-1	848	1861	84.39
15	burton-1762	1762	SERMON	9110	PPCMBE-RELEASE-1	1455	1762	159.71
16	butler-1726	1726	SERMON	9099	PPCMBE-RELEASE-1	1433	1726	157.49
17	carlyle-1835	1835	LETTERS_PRIV	9343	PPCMBE-RELEASE-1	1160	1835	124.16
18	carlyle-1837	1837	HISTORY	8752	PPCMBE-RELEASE-1	1177	1837	134.48
19	chapman-1774	1774	EDUC_TREATISE	9027	PPCMBE-RELEASE-1	1386	1774	153.54
20	cibber-1740	1740	BIOGRAPHY_AUTO	10046	PPCMBE-RELEASE-1	1446	1740	143.94
21	collier-1835	1835	DRAMA_COMEDY	9459	PPCMBE-RELEASE-1	859	1835	90.81
22	colman-1805	1805	DRAMA_COMEDY	10161	PPCMBE-RELEASE-1	903	1805	88.87
23	cook-1776	1776	TRAVELOGUE	10148	PPCMBE-RELEASE-1	1423	1776	140.22
24	cooke-1712	1712	TRAVELOGUE	10027	PPCMBE-RELEASE-1	1504	1712	150
25	davys-1716	1716	DRAMA_COMEDY	10294	PPCMBE-RELEASE-1	960	1716	93.26
26	defoe-1719	1719	FICTION	9378	PPCMBE-RELEASE-1	1233	1719	131.48
27	dickens-1837	1837	FICTION	9437	PPCMBE-RELEASE-1	1195	1837	126.63
28	doddridge-1747	1747	BIOGRAPHY_OTHER	10432	PPCMBE-RELEASE-1	1595	1747	152.89
29	drummond-1718	1718	HANDBOOK_OTHER	7905	PPCMBE-RELEASE-1	1191	1718	150.66
30	erv-new-1881	1881	BIBLE	10964	PPCMBE-RELEASE-1	1175	1881	107.17
31	erv-old-1885	1885	BIBLE	10292	PPCMBE-RELEASE-1	1386	1885	134.67
32	faraday-1859	1859	SCIENCE_OTHER	8821	PPCMBE-RELEASE-1	1185	1859	134.34
33	fayrer-1900	1900	BIOGRAPHY_AUTO	7754	PPCMBE-RELEASE-1	1063	1900	137.09
34	fielding-1749	1749	FICTION	9385	PPCMBE-RELEASE-1	1209	1749	128.82
35	fleming-1886	1886	HANDBOOK_OTHER	9038	PPCMBE-RELEASE-1	1406	1886	155.57
36	froude-1830	1830	SERMON	9254	PPCMBE-RELEASE-1	1389	1830	150.1
37	george-1763	1763	LETTERS_NON-PRIV	4941	PPCMBE-RELEASE-1	677	1763	137.02
38	gibbon-1776	1776	HISTORY	8804	PPCMBE-RELEASE-1	1518	1776	172.42
39	gladstone-1873	1873	LETTERS_NON-PRIV	11240	PPCMBE-RELEASE-1	1561	1873	138.88
40	godwin-1805	1805	FICTION	9343	PPCMBE-RELEASE-1	1371	1805	146.74
41	goldsmith-1773	1773	DRAMA_COMEDY	10385	PPCMBE-RELEASE-1	976	1773	93.98
42	grafting-1780	1780	HANDBOOK_OTHER	9130	PPCMBE-RELEASE-1	1332	1780	145.89
43	haydon-1808	1808	DIARY_PRIV	10015	PPCMBE-RELEASE-1	1277	1808	127.51
44	herschel-1797	1797	SCIENCE_OTHER	9156	PPCMBE-RELEASE-1	1153	1797	125.93
45	hind-1707	1707	HISTORY	8791	PPCMBE-RELEASE-1	1389	1707	158
46	holmes-letters-1749	1749	LETTERS_NON-PRIV	6535	PPCMBE-RELEASE-1	946	1749	144.76
47	holmes-trial-1749	1749	PROCEEDINGS_TRIAL	20707	PPCMBE-RELEASE-1	2675	1749	129.18
48	johnson-1775	1775	LETTERS_PRIV	9525	PPCMBE-RELEASE-1	984	1775	103.31
49	kimber-1742	1742	HISTORY	8829	PPCMBE-RELEASE-1	1407	1742	159.36
50	lancaster-1806	1806	EDUC_TREATISE	9214	PPCMBE-RELEASE-1	1389	1806	150.75
51	lind-1753	1753	SCIENCE_MEDICINE	7734	PPCMBE-RELEASE-1	1176	1753	152.06
52	long-1866	1866	HISTORY	8851	PPCMBE-RELEASE-1	1249	1866	141.11
53	lyell-1830	1830	SCIENCE_OTHER	8934	PPCMBE-RELEASE-1	1573	1830	176.07
54	maxwell-1747	1747	HANDBOOK_OTHER	10271	PPCMBE-RELEASE-1	1320	1747	128.52
55	meredith-1895	1895	FICTION	9322	PPCMBE-RELEASE-1	1318	1895	141.39
56	montagu-1718	1718	LETTERS_PRIV	9344	PPCMBE-RELEASE-1	1306	1718	139.77
57	montefiore-1836	1836	TRAVELOGUE	10195	PPCMBE-RELEASE-1	1454	1836	142.62
58	newcome-new-1796	1796	BIBLE	11033	PPCMBE-RELEASE-1	1207	1796	109.4
59	nightingale-188x	1889	LETTERS_PRIV	3302	PPCMBE-RELEASE-1	400	1889	121.14
60	nightingale-189x	1890	LETTERS_PRIV	6201	PPCMBE-RELEASE-1	740	1890	119.34
61	officer-1744	1744	TRAVELOGUE	10032	PPCMBE-RELEASE-1	1364	1744	135.96
62	okeeffe-1826	1826	BIOGRAPHY_AUTO	8080	PPCMBE-RELEASE-1	1172	1826	145.05
63	oman-1895	1895	HISTORY	8851	PPCMBE-RELEASE-1	1267	1895	143.15
64	poore-1876	1876	SCIENCE_MEDICINE	7719	PPCMBE-RELEASE-1	1181	1876	153
65	priestley-1769	1769	SCIENCE_OTHER	8911	PPCMBE-RELEASE-1	1356	1769	152.17
66	purver-new-1764	1764	BIBLE	11099	PPCMBE-RELEASE-1	1206	1764	108.66
67	purver-old-1764	1764	BIBLE	9521	PPCMBE-RELEASE-1	1367	1764	143.58
68	pusey-186x	1866	SERMON	9022	PPCMBE-RELEASE-1	1434	1866	158.94
69	reade-1863	1863	TRAVELOGUE	10369	PPCMBE-RELEASE-1	1357	1863	130.87
70	reeve-1777	1777	FICTION	9432	PPCMBE-RELEASE-1	1161	1777	123.09
71	ruskin-1835	1835	DIARY_PRIV	9882	PPCMBE-RELEASE-1	1573	1835	159.18
72	ryder-1716	1716	DIARY_PRIV	9916	PPCMBE-RELEASE-1	1381	1716	139.27
73	skeavington-184x	184	HANDBOOK_OTHER	9132	PPCMBE-RELEASE-1	1169	NA	128.01
74	southey-1813	1813	BIOGRAPHY_OTHER	9829	PPCMBE-RELEASE-1	1356	1813	137.96
75	statutes-171x	1716	LAW	9315	PPCMBE-RELEASE-1	1473	1716	158.13
76	statutes-1745	1745	LAW	9320	PPCMBE-RELEASE-1	1544	1745	165.67
77	statutes-1775	1775	LAW	9436	PPCMBE-RELEASE-1	1587	1775	168.19
78	statutes-1805	1805	LAW	9440	PPCMBE-RELEASE-1	1607	1805	170.23
79	statutes-1835	1835	LAW	9370	PPCMBE-RELEASE-1	1598	1835	170.54
80	statutes-1865	1865	LAW	9456	PPCMBE-RELEASE-1	1751	1865	185.17
81	statutes-1895	1895	LAW	9411	PPCMBE-RELEASE-1	1708	1895	181.49
82	stevens-1745	1745	DRAMA_COMEDY	10277	PPCMBE-RELEASE-1	924	1745	89.91
83	strutt-1890	1890	SCIENCE_OTHER	8790	PPCMBE-RELEASE-1	1407	1890	160.07
84	talbot-1901	1901	SERMON	9138	PPCMBE-RELEASE-1	1252	1901	137.01
85	thring-187x	1872	DIARY_PRIV	9997	PPCMBE-RELEASE-1	1162	1872	116.23
86	tindall-1814	1814	HANDBOOK_OTHER	9044	PPCMBE-RELEASE-1	1283	1814	141.86
87	townley-1746	1746	PROCEEDINGS_TRIAL	9995	PPCMBE-RELEASE-1	1290	1746	129.06
88	trollope-1882	1882	BIOGRAPHY_OTHER	9811	PPCMBE-RELEASE-1	1376	1882	140.25
89	turner1-1799	1799	HISTORY	8743	PPCMBE-RELEASE-1	1277	1799	146.06
90	turner2-1800	1800	TRAVELOGUE	10082	PPCMBE-RELEASE-1	1669	1800	165.54
91	victoria-186x	1865	LETTERS_PRIV	9368	PPCMBE-RELEASE-1	943	1865	100.66
92	walpole-174x	1747	LETTERS_PRIV	9629	PPCMBE-RELEASE-1	1155	1747	119.95
93	watson-1817	1817	PROCEEDINGS_TRIAL	28271	PPCMBE-RELEASE-1	3114	1817	110.15
94	weathers-1913	1913	HANDBOOK_OTHER	9037	PPCMBE-RELEASE-1	1386	1913	153.37
95	webster-1718	1718	EDUC_TREATISE	2328	PPCMBE-RELEASE-1	322	1718	138.32
96	wellesley-1815	1815	LETTERS_NON-PRIV	11110	PPCMBE-RELEASE-1	1663	1815	149.68
97	wesley-174x	1745	DIARY_PRIV	9901	PPCMBE-RELEASE-1	1419	1745	143.32
98	whewell-1837	1837	EDUC_TREATISE	9278	PPCMBE-RELEASE-1	1462	1837	157.58
99	wilde-1895	1895	DRAMA_COMEDY	9713	PPCMBE-RELEASE-1	936	1895	96.37
100	wollaston-1793	1793	SERMON	9088	PPCMBE-RELEASE-1	1466	1793	161.31
101	yonge-1865	1865	FICTION	9329	PPCMBE-RELEASE-1	1148	1865	123.06
102	abott-e1-p1	1530	LETTERS_PRIV	360	PPCEME-RELEASE-2	42	1530	116.67
103	alhatton-e3-h	1700	LETTERS_PRIV	769	PPCEME-RELEASE-2	74	1700	96.23
104	alhatton2-e3-p1	1687	LETTERS_PRIV	899	PPCEME-RELEASE-2	97	1687	107.9
105	ambass-e1-p2	1525	LETTERS_NON-PRIV	1412	PPCEME-RELEASE-2	211	1525	149.43
106	anhatton-e3-h	1695	LETTERS_PRIV	534	PPCEME-RELEASE-2	52	1695	97.38
107	anhatton-e3-p1	1695	LETTERS_PRIV	721	PPCEME-RELEASE-2	94	1695	130.37
108	anhatton-e3-p2	1695	LETTERS_PRIV	620	PPCEME-RELEASE-2	65	1695	104.84
109	aplumpt-e1-h	1504	LETTERS_PRIV	1834	PPCEME-RELEASE-2	205	1504	111.78
110	aplumpt-e1-p1	1504	LETTERS_PRIV	317	PPCEME-RELEASE-2	42	1504	132.49
111	apoole-e1-p2	1552	LETTERS_PRIV	202	PPCEME-RELEASE-2	30	1552	148.51
112	armin-e2-h	1608	FICTION	5185	PPCEME-RELEASE-2	458	1608	88.33
113	armin-e2-p1	1608	FICTION	5328	PPCEME-RELEASE-2	597	1608	112.05
114	armin-e2-p2	1608	FICTION	5158	PPCEME-RELEASE-2	559	1608	108.38
115	asch-e1-h	1568	EDUC_TREATISE	4913	PPCEME-RELEASE-2	682	1568	138.82
116	asch-e1-p1	1568	EDUC_TREATISE	5216	PPCEME-RELEASE-2	678	1568	129.98
117	asch-e1-p2	1568	EDUC_TREATISE	5036	PPCEME-RELEASE-2	674	1568	133.84
118	aungier-e3-h	1675	LETTERS_NON-PRIV	1068	PPCEME-RELEASE-2	154	1675	144.19
119	aungier-e3-p1	1675	LETTERS_NON-PRIV	1011	PPCEME-RELEASE-2	154	1675	152.32
120	aungier-e3-p2	1675	LETTERS_NON-PRIV	1312	PPCEME-RELEASE-2	190	1675	144.82
121	authnew-e2-h	1611	BIBLE	11616	PPCEME-RELEASE-2	1196	1611	102.96
122	authnew-e2-p1	1611	BIBLE	12836	PPCEME-RELEASE-2	1443	1611	112.42
123	authnew-e2-p2	1611	BIBLE	11262	PPCEME-RELEASE-2	1463	1611	129.91
124	authold-e2-h	1611	BIBLE	10598	PPCEME-RELEASE-2	1393	1611	131.44
125	authold-e2-p1	1611	BIBLE	11178	PPCEME-RELEASE-2	1401	1611	125.34
126	authold-e2-p2	1611	BIBLE	10492	PPCEME-RELEASE-2	1342	1611	127.91
127	bacon-e2-h	1605	EDUC_TREATISE	5810	PPCEME-RELEASE-2	857	1605	147.5
128	bacon-e2-p1	1605	EDUC_TREATISE	5918	PPCEME-RELEASE-2	903	1605	152.59
129	bacon-e2-p2	1605	EDUC_TREATISE	5913	PPCEME-RELEASE-2	845	1605	142.91
130	bedyll-e1-h	1537	LETTERS_NON-PRIV	432	PPCEME-RELEASE-2	50	1537	115.74
131	behn-e3-h	1668	FICTION	5493	PPCEME-RELEASE-2	671	1668	122.16
132	behn-e3-p1	1668	FICTION	5908	PPCEME-RELEASE-2	772	1668	130.67
133	behn-e3-p2	1668	FICTION	5475	PPCEME-RELEASE-2	721	1668	131.69
134	blundev-e2-h	1597	SCIENCE_OTHER	6486	PPCEME-RELEASE-2	907	1597	139.84
135	blundev-e2-p1	1597	SCIENCE_OTHER	7173	PPCEME-RELEASE-2	1028	1597	143.32
136	blundev-e2-p2	1597	SCIENCE_OTHER	6941	PPCEME-RELEASE-2	1008	1597	145.22
137	boethco-e1-h	1556	PHILOSOPHY	9904	PPCEME-RELEASE-2	1046	1556	105.61
138	boethco-e1-p1	1556	PHILOSOPHY	11649	PPCEME-RELEASE-2	1422	1556	122.07
139	boethco-e1-p2	1556	PHILOSOPHY	10538	PPCEME-RELEASE-2	1053	1556	99.92
140	boethel-e2-h	1593	PHILOSOPHY	6880	PPCEME-RELEASE-2	793	1593	115.26
141	boethel-e2-p1	1593	PHILOSOPHY	7780	PPCEME-RELEASE-2	943	1593	121.21
142	boethel-e2-p2	1593	PHILOSOPHY	7144	PPCEME-RELEASE-2	701	1593	98.12
143	boethpr-e3-h	1695	PHILOSOPHY	8845	PPCEME-RELEASE-2	1079	1695	121.99
144	boethpr-e3-p1	1695	PHILOSOPHY	11013	PPCEME-RELEASE-2	1464	1695	132.93
145	boethpr-e3-p2	1695	PHILOSOPHY	9455	PPCEME-RELEASE-2	1045	1695	110.52
146	boylecol-e3-p1	1664	SCIENCE_OTHER	1305	PPCEME-RELEASE-2	202	1664	154.79
147	boylecol-e3-p2	1664	SCIENCE_OTHER	5413	PPCEME-RELEASE-2	812	1664	150.01
148	boyle-e3-h	1676	SCIENCE_OTHER	5250	PPCEME-RELEASE-2	732	1676	139.43
149	boyle-e3-p1	1676	SCIENCE_OTHER	4181	PPCEME-RELEASE-2	616	1676	147.33
150	brinsley-e2-h	1627	EDUC_TREATISE	5593	PPCEME-RELEASE-2	680	1627	121.58
151	brinsley-e2-p1	1627	EDUC_TREATISE	5821	PPCEME-RELEASE-2	782	1627	134.34
152	brinsley-e2-p2	1627	EDUC_TREATISE	5845	PPCEME-RELEASE-2	718	1627	122.84
153	burnetcha-e3-h	1713	HISTORY	5818	PPCEME-RELEASE-2	789	1713	135.61
154	burnetcha-e3-p1	1713	HISTORY	5929	PPCEME-RELEASE-2	838	1713	141.34
155	burnetcha-e3-p2	1713	HISTORY	5849	PPCEME-RELEASE-2	817	1713	139.68
156	burnetroc-e3-h	1680	BIOGRAPHY_OTHER	6171	PPCEME-RELEASE-2	881	1680	142.76
157	burnetroc-e3-p1	1680	BIOGRAPHY_OTHER	6376	PPCEME-RELEASE-2	901	1680	141.31
158	burnetroc-e3-p2	1680	BIOGRAPHY_OTHER	6285	PPCEME-RELEASE-2	896	1680	142.56
159	capel-e3-h	1677	LETTERS_NON-PRIV	482	PPCEME-RELEASE-2	63	1677	130.71
160	capel-e3-p1	1677	LETTERS_NON-PRIV	568	PPCEME-RELEASE-2	66	1677	116.2
161	capel-e3-p2	1677	LETTERS_NON-PRIV	553	PPCEME-RELEASE-2	61	1677	110.31
