ID	DATE	TEXT	AUTHOR	TOKEN COUNT
1	1386	a	A_Petition_of_the_Folk_of_Mercerye	1456
2	1417	a	Henry_V	205
3	1417	b	Henry_V	178
4	1417	c	The_Aldermen_of_London	579
5	1418	a	Henry_V	482
6	1418	b	Henry_V	285
7	1418	c	The_Aldermen_of_London	297
8	1418	d	The_Aldermen_of_London	776
9	1419	a	The_Aldermen_of_London	464
10	1419	b	Henry_V	212
11	1419	c	Henry_V	437
12	1424	a	The_Aldermen_of_London	350
13	1426	a	William_Paston	404
14	1429	a	William_Paston	346
15	1440	a	David_Home	304
16	1441	a	Litera_Directa_de_Hales	326
17	1441	b	Litera_Directa_de_Hales	253
18	1441	c	David_Home	230
19	1441	d	David_Home	198
20	1441	e	David_Home	176
21	1442	a	David_Home	1028
22	1442	b	Thomas_Bekynton	1344
23	1442	c	Thomas_Bekynton	251
24	1442	d	Thomas_Bekynton	979
25	1444	a	Litera_Directa_Magistro_Roberto	263
26	1445	a	Agnes_Paston	292
27	1447	a	Thomas_Bekynton	606
28	1447	b	John_Shillingford	330
29	1447	c	John_Shillingford	1346
30	1447	d	John_Shillingford	292
31	1447	e	John_Shillingford	533
32	1447	f	William_Prior_of_Durham	534
33	1451	a	Agnes_Paston	224
34	1451	b	Agnes_Paston	324
35	1451	c	William_Prior_of_Durham	145
36	1456	a	William_Prior_of_Durham	369
37	1456	b	William_Prior_of_Durham	366
38	1458	a	Agnes_Paston	255
39	1465	a	Margaret_Paston	366
40	1465	b	Margaret_Paston	916
41	1465	c	Margaret_Paston	530
42	1465	d	Margaret_Paston	507
43	1465	e	Margaret_Paston	635
44	1465	f	Margaret_Paston	763
45	1472	a	Richard_Byllingham	779
46	1476	a	Elizabeth_Stonor	245
47	1476	b	Elizabeth_Stonor	572
48	1476	c	Elizabeth_Stonor	308
49	1476	d	Elizabeth_Stonor	841
50	1476	e	Elizabeth_Stonor	375
51	1476	f	Elizabeth_Stonor	525
52	1477	a	Richard_Cely_elder	320
53	1477	b	Richard_Cely_elder	125
54	1478	a	Richard_Cely_elder	392
55	1478	b	Richard_Cely_elder	240
56	1478	c	Richard_Cely_elder	237
57	1478	d	Richard_Cely_elder	279
58	1478	e	Richard_Cely_elder	231
59	1478	f	Richard_Cely_elder	662
60	1479	a	Richard_Cely_younger	411
61	1479	b	Richard_Cely_younger	339
62	1480	a	Richard_Cely_younger	271
63	1480	b	Richard_Cely_younger	281
64	1480	c	Richard_Cely_younger	290
65	1480	d	Richard_Cely_younger	416
66	1480	e	Richard_Cely_younger	371
67	1482	a	William_Cely	393
68	1487	a	William_Cely	567
69	1487	b	William_Cely	405
70	1487	c	William_Cely	370
71	1487	d	William_Cely	811
72	1438	a	David_Home	246
73	1467	a	Richard_Byllingham	595
74	1476	a	Richard_Cely_elder	310
1	1502	a	Agnes_Plumton	441
2	1502	b	Agnes_Plumton	235
3	1502	c	Agnes_Plumton	221
4	1502	d	Agnes_Plumton	108
5	1503	a	John_Flamank	2544
6	1503	b	Agnes_Plumton	218
7	1504	a	Agnes_Plumton	437
8	1504	b	Agnes_Plumton	209
9	1504	c	Agnes_Plumton	247
10	1514	a	Mary_Queen_of_France	318
11	1514	b	Mary_Queen_of_France	155
12	1515	a	Mary_Queen_of_France	463
13	1515	b	Mary_Queen_of_France	428
14	1515	c	Mary_Queen_of_France	177
15	1515	d	Mary_Queen_of_France	389
16	1515	e	Mary_Queen_of_France	202
17	1523	a	Thomas_More	1292
18	1523	b	Thomas_More	147
19	1523	c	Thomas_More	931
20	1525	a	Wolsey_to_More	277
21	1526	a	Wolsey_to_More	895
22	1529	a	John_Palsgrave	890
23	1534	a	Thomas_More	220
24	1534	b	Thomas_More	832
25	1534	c	Thomas_Starkey	826
26	1534	d	Thomas_Starkey	1842
27	1535	a	Thomas_More	806
28	1535	b	Thomas_Starkey	1213
29	1535	c	Andrew_Boorde	246
30	1535	d	Andrew_Boorde	329
31	1535	e	Andrew_Boorde	407
32	1536	a	Andrew_Boorde	270
33	1536	b	Andrew_Boorde	749
34	1537	a	Andrew_Boorde	403
35	1540	a	Thomas_Cromwell	452
36	1540	b	Thomas_Cromwell	169
37	1540	c	Thomas_Cromwell	199
38	1540	d	Thomas_Cromwell	148
39	1540	e	Thomas_Cromwell	762
40	1543	a	Henry_Savill	267
41	1544	a	Henry_Savill	477
