id	file.speaker.id	text.id	spk.ref	zone	date	sex	age	word.count
1	<S1A-001$A>	S1A-001	A	northern ireland	1990-1994	male	34-41	765
2	<S1A-001$B>	S1A-001	B	northern ireland	1990-1994	female	34-41	1298
3	<S1A-002$?>	S1A-002	?	NA	NA	NA	NA	23
4	<S1A-002$A>	S1A-002	A	northern ireland	2002-2005	female	26-33	391
5	<S1A-002$B>	S1A-002	B	northern ireland	2002-2005	female	19-25	47
6	<S1A-002$C>	S1A-002	C	northern ireland	2002-2005	male	50+	200
7	<S1A-002$D>	S1A-002	D	northern ireland	2002-2005	female	50+	464
8	<S1A-002$E>	S1A-002	E	mixed between ni and roi	2002-2005	male	34-41	639
9	<S1A-002$F>	S1A-002	F	northern ireland	2002-2005	female	26-33	308
10	<S1A-002$G>	S1A-002	G	northern ireland	2002-2005	female	50+	78
11	<S1A-002$H>	S1A-002	H	mixed between ni and roi	2002-2005	male	19-25	98
12	<S1A-002$I>	S1A-002	I	mixed between ni and roi	2002-2005	female	34-41	28
13	<S1A-003$?>	S1A-003	?	NA	NA	NA	NA	1
14	<S1A-003$A>	S1A-003	A	mixed between ni and roi	2002-2005	male	34-41	532
15	<S1A-003$B>	S1A-003	B	northern ireland	2002-2005	female	26-33	447
16	<S1A-003$C>	S1A-003	C	northern ireland	2002-2005	female	19-25	480
17	<S1A-003$D>	S1A-003	D	northern ireland	2002-2005	female	50+	276
18	<S1A-003$E>	S1A-003	E	northern ireland	2002-2005	female	26-33	403
19	<S1A-003$F>	S1A-003	F	mixed between ni and roi	2002-2005	male	19-25	183
20	<S1A-003$H>	S1A-003	H	NA	NA	NA	NA	3
21	<S1A-004$A>	S1A-004	A	northern ireland	2002-2005	female	50+	1280
22	<S1A-004$B>	S1A-004	B	northern ireland	2002-2005	female	50+	525
23	<S1A-004$C>	S1A-004	C	northern ireland	2002-2005	female	50+	355
24	<S1A-005$A>	S1A-005	A	northern ireland	2002-2005	male	34-41	689
25	<S1A-005$B>	S1A-005	B	northern ireland	2002-2005	male	26-33	1075
