"Adjective"	"Variant"	"Age"
"good"	"really"	"26-40"
"good"	"other"	"26-40"
"good"	"other"	"26-40"
"other"	"pretty"	"26-40"
"other"	"other"	"26-40"
"good"	"other"	"26-40"
"good"	"pretty"	"26-40"
"nice"	"very"	"17-25"
"other"	"so"	"17-25"
"other"	"so"	"41-80"
"other"	"very"	"17-25"
"good"	"other"	"41-80"
"good"	"other"	"41-80"
"other"	"so"	"26-40"
"other"	"really"	"17-25"
"nice"	"really"	"17-25"
"other"	"really"	"17-25"
"other"	"really"	"17-25"
"nice"	"really"	"17-25"
"nice"	"very"	"17-25"
"good"	"really"	"17-25"
"nice"	"really"	"17-25"
"other"	"really"	"17-25"
"good"	"pretty"	"17-25"
"other"	"so"	"17-25"
"good"	"really"	"17-25"
"funny"	"really"	"17-25"
"bad"	"really"	"17-25"
"other"	"so"	"17-25"
"good"	"really"	"17-25"
"other"	"so"	"26-40"
"good"	"really"	"26-40"
"good"	"really"	"26-40"
"good"	"really"	"26-40"
"other"	"very"	"26-40"
"other"	"really"	"26-40"
"good"	"really"	"17-25"
"funny"	"really"	"17-25"
"other"	"really"	"17-25"
"nice"	"really"	"17-25"
"other"	"pretty"	"17-25"
"other"	"really"	"17-25"
"other"	"very"	"17-25"
"other"	"other"	"17-25"
"nice"	"really"	"17-25"
"nice"	"really"	"17-25"
"other"	"really"	"17-25"
"nice"	"really"	"17-25"
"good"	"pretty"	"17-25"
"hard"	"other"	"17-25"
"other"	"very"	"17-25"
"other"	"very"	"17-25"
"other"	"really"	"17-25"
"other"	"very"	"17-25"
"other"	"really"	"17-25"
"other"	"really"	"17-25"
"hard"	"very"	"17-25"
"good"	"really"	"17-25"
"other"	"very"	"17-25"
"other"	"very"	"17-25"
"good"	"very"	"17-25"
"good"	"really"	"17-25"
"bad"	"really"	"17-25"
"bad"	"so"	"17-25"
"other"	"pretty"	"17-25"
"other"	"other"	"26-40"
"other"	"very"	"26-40"
"good"	"very"	"17-25"
"good"	"really"	"41-80"
"other"	"very"	"17-25"
"other"	"really"	"41-80"
"bad"	"so"	"17-25"
"other"	"other"	"17-25"
"other"	"really"	"17-25"
"hard"	"really"	"41-80"
"bad"	"really"	"41-80"
