"Age"	"Adjective"	"FileSpeaker"	"Function"	"Priming"	"Gender"	"Occupation"	"ConversationType"	"AudienceSize"	"very"	"really"	"Freq"	"Gradabilty"	"SemanticCategory"	"Emotionality"
"26-40"	"good"	"<S1A-001:1$B>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	0	0	27.8481	"NotGradable"	"Value"	"PositiveEmotional"
"26-40"	"good"	"<S1A-001:1$B>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	0	0	27.8481	"NotGradable"	"Value"	"PositiveEmotional"
"26-40"	"good"	"<S1A-001:1$B>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"MultipleInterlocutors"	0	0	27.8481	"NotGradable"	"Value"	"PositiveEmotional"
"17-25"	"nice"	"<S1A-003:1$B>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	1	0	7.29282	"NotGradable"	"HumanPropensity"	"NonEmotional"
"41-80"	"other"	"<S1A-003:1$A>"	"Predicative"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"SameSex"	"Dyad"	0	0	0.61728	"NotGradable"	"Value"	"NonEmotional"
"41-80"	"other"	"<S1A-004:1$C>"	"Predicative"	"NoPrime"	"Men"	NA	"MixedSex"	"MultipleInterlocutors"	1	0	2.46914	"NotGradable"	"Value"	"PositiveEmotional"
"41-80"	"good"	"<S1A-004:1$B>"	"Attributive"	"NoPrime"	"Women"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	0	20.98765	"NotGradable"	"Value"	"PositiveEmotional"
"41-80"	"other"	"<S1A-005:1$B>"	"Predicative"	"NoPrime"	"Women"	NA	"MixedSex"	"MultipleInterlocutors"	1	0	0.61728	"GradabilityUndetermined"	"HumanPropensity"	"NegativeEmotional"
"17-25"	"other"	"<S1A-006:1$B>"	"Attributive"	"NoPrime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	1	4.64088	"GradabilityUndetermined"	"Dimension"	"NonEmotional"
"17-25"	"other"	"<S1A-006:1$B>"	"Attributive"	"Prime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	1	0.44199	"NotGradable"	"PhysicalProperty"	"NonEmotional"
"17-25"	"other"	"<S1A-006:1$B>"	"Predicative"	"Prime"	"Men"	"AcademicManagerialProfessionals"	"MixedSex"	"MultipleInterlocutors"	0	1	0.44199	"NotGradable"	"PhysicalProperty"	"NonEmotional"
