"FileSpeaker"	"CleanSpeechUnit"	"Adjective"	"Variant"	"Gender"	"Age"	"Occupation"	"AudienceSize"	"ConversationType"	"AgeNumeric"	"Function"	"Amplified"	"Frequency"	"Priming"	"Gradability"	"SemanticCategory"	"Emotionality"
"<S1A-001:1$B>"	"Unless they get a good crowd"	"good"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	6.86	"NotPrimed"	-1.36573128305266	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"If they get a good crowd I'll get up and have a turn"	"good"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	6.86	"NotPrimed"	-1.65688362423877	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"They seem to ah they get a good crowd when Charlie starts speaking at two o'clock"	"good"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	6.86	"NotPrimed"	0.258425517063534	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"Get a good crowd I'll get up and have a talk"	"good"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	6.86	"NotPrimed"	-0.326018562475439	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"I think he's bloody he's a really good speaker whether you agree with his point of view or whether you don't agree with his point of view he is a bloody good orator and a damn good speaker"	"bloody"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	0	0.73	"NotPrimed"	1	"PhysicalProperty"	"NegativeEmotional"
"<S1A-001:1$B>"	"I think he's bloody he's a really good speaker whether you agree with his point of view or whether you don't agree with his point of view he is a bloody good orator and a damn good speaker"	"good"	"really"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	1	6.86	"NotPrimed"	-3.66356164612965	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"I think he's bloody he's a really good speaker whether you agree with his point of view or whether you don't agree with his point of view he is a bloody good orator and a damn good speaker"	"bloody"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	0.73	"NotPrimed"	1	"PhysicalProperty"	"NegativeEmotional"
"<S1A-001:1$B>"	"I think he's bloody he's a really good speaker whether you agree with his point of view or whether you don't agree with his point of view he is a bloody good orator and a damn good speaker"	"good"	"bloody"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	1	6.86	"NotPrimed"	0.106245105492563	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"I think he's bloody he's a really good speaker whether you agree with his point of view or whether you don't agree with his point of view he is a bloody good orator and a damn good speaker"	"good"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	6.86	"NotPrimed"	-3.66356164612965	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"That young chappie, bald"	"young"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	0.65	"NotPrimed"	0.0717035755191344	"Age"	"PositiveEmotional"
"<S1A-001:1$B>"	"Bloody good speaker he is see eh"	"good"	"bloody"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	1	6.86	"NotPrimed"	-3.66356164612965	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"He knows what he's bloody talking about too"	"bloody"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	0	0.73	"NotPrimed"	1	"PhysicalProperty"	"NegativeEmotional"
"<S1A-001:1$B>"	"When he starts talking on the environment look mate he's just he is a bloody realist to my way of thinking you know"	"bloody"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	0.73	"NotPrimed"	1	"PhysicalProperty"	"NegativeEmotional"
"<S1A-001:1$C>"	"Good mate yourself"	"good"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"SameGender"	75	"Attributive"	0	6.75	"NotPrimed"	0.726620394571161	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"Don't worry about it mate it'll do the soil the world of good"	"good"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	0	6.86	"NotPrimed"	-1.89607765147862	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"Fruit vegies'll do the soil a lot of good"	"good"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	0	6.86	"NotPrimed"	0.341110043360573	"Value"	"PositiveEmotional"
"<S1A-001:1$B>"	"On the garbage bloody tips of the world too"	"bloody"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	0.73	"NotPrimed"	1	"PhysicalProperty"	"NegativeEmotional"
"<S1A-001:1$B>"	"The old mounds where they used to take the garbage out you know"	"old"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	1.47	"NotPrimed"	-0.77341853902405	"Age"	"NonEmotional"
"<S1A-001:1$B>"	"But ah people are just so irresponsible they'll just chuck anything in the bloody garbage bins"	"bloody"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	0.73	"NotPrimed"	1	"PhysicalProperty"	"NegativeEmotional"
"<S1A-001:1$B>"	"I know a place in Mortdale in Roberts Avenue the garbage dump was on one side of the road and that's pretty green but the shit depot was on the other side and it's bloody it's like a jungle now you know"	"green"	"pretty"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	1	0.22	"NotPrimed"	-0.837435112387515	"Color"	"PositiveEmotional"
"<S1A-001:1$B>"	"I know a place in Mortdale in Roberts Avenue the garbage dump was on one side of the road and that's pretty green but the shit depot was on the other side and it's bloody it's like a jungle now you know"	"bloody"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	0	0.73	"NotPrimed"	1	"PhysicalProperty"	"NegativeEmotional"
"<S1A-001:1$B>"	"Bloody beautiful"	"beautiful"	"bloody"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	1	0.47	"NotPrimed"	-2.01960256979302	"Value"	"PositiveEmotional"
"<S1A-001:1$A>"	"Well I'm a research assistant for a big project that's collecting um samples of recorded speech"	"big"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"SameGender"	48	"Attributive"	0	1.41	"NotPrimed"	0.954150863753739	"Dimension"	"NonEmotional"
"<S1A-001:1$B>"	"We're looking for speakers for Sunday night for our little hall in Kings Cross"	"little"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	2.63	"NotPrimed"	-1.88384813237428	"Dimension"	"NonEmotional"
"<S1A-001:1$A>"	"I'm uh researching a big project that's collecting samples of Australians speaking and um"	"big"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"SameGender"	48	"Attributive"	0	1.41	"NotPrimed"	0.991275345586047	"Dimension"	"NonEmotional"
"<S1A-001:1$B>"	"Every Sunday night I'll I'll just just give you a little memo"	"little"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	2.63	"NotPrimed"	-3.66356164612965	"Dimension"	"NonEmotional"
"<S1A-001:1$B>"	"If you're interested and you've got some free time tonight you might come along for audience participation just if you're interested no"	"interested"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Predicative"	0	0.6	"NotPrimed"	1	"HumanPropensity"	"PositiveEmotional"
"<S1A-001:1$B>"	"'s a hard taskmaster mate you know"	"hard"	"0"	"Man"	"26-40"	"ACMP"	"Group"	"SameGender"	28	"Attributive"	0	0.73	"NotPrimed"	-3.66356164612965	"PhysicalProperty"	"NonEmotional"
"<S1A-001:1$A>"	"And what's your name again sorry"	"sorry"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"SameGender"	48	"Predicative"	0	0.47	"NotPrimed"	-0.918252871289442	"HumanPropensity"	"NonEmotional"
"<S1A-001:1$A>"	"Good that's good information"	"good"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"SameGender"	48	"Predicative"	0	6.75	"NotPrimed"	-0.918257512213847	"Value"	"PositiveEmotional"
"<S1A-001:1$A>"	"Good that's good information"	"good"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"SameGender"	48	"Attributive"	0	6.75	"NotPrimed"	0.129988344200463	"Value"	"PositiveEmotional"
"<S1A-001:1$A>"	"Mmm that's interesting"	"interesting"	"0"	"Man"	"41-80"	"ACMP"	"Group"	"SameGender"	48	"Predicative"	0	0.71	"NotPrimed"	1	"Value"	"PositiveEmotional"
