ID	Gender	Age	Ethnicity	EH
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	1
<S1A-001#M>	Men	Young	Pakeha	0
