"Variety"	"Age"	"Gender"	"Class"	"Frequency"
"American"	"Old"	"Man"	"Middle"	7
"British"	"Old"	"Woman"	"Middle"	9
"British"	"Old"	"Man"	"Middle"	6
"American"	"Old"	"Woman"	"Working"	2
"American"	"Old"	"Man"	"Middle"	5
"British"	"Old"	"Man"	"Middle"	8
"American"	"Old"	"Man"	"Middle"	8
"British"	"Old"	"Man"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	3
"American"	"Old"	"Woman"	"Middle"	8
"British"	"Old"	"Woman"	"Middle"	4
"British"	"Old"	"Man"	"Middle"	0
"American"	"Old"	"Woman"	"Working"	6
"British"	"Old"	"Woman"	"Middle"	4
"British"	"Old"	"Man"	"Middle"	1
"British"	"Old"	"Woman"	"Middle"	7
"British"	"Old"	"Man"	"Middle"	7
"British"	"Young"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	7
"British"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	4
"American"	"Old"	"Woman"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	1
"British"	"Old"	"Woman"	"Middle"	6
"British"	"Old"	"Woman"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	8
"American"	"Old"	"Man"	"Middle"	7
"British"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	8
"American"	"Old"	"Woman"	"Middle"	6
"British"	"Old"	"Woman"	"Working"	5
"British"	"Old"	"Man"	"Working"	9
"British"	"Old"	"Woman"	"Middle"	7
"British"	"Old"	"Woman"	"Middle"	6
"British"	"Old"	"Woman"	"Middle"	1
"British"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	7
"British"	"Old"	"Woman"	"Middle"	8
"American"	"Old"	"Man"	"Middle"	8
"American"	"Old"	"Man"	"Middle"	9
"British"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Woman"	"Middle"	1
"British"	"Old"	"Woman"	"Middle"	9
"British"	"Old"	"Man"	"Middle"	9
"American"	"Old"	"Man"	"Middle"	1
"British"	"Old"	"Man"	"Middle"	1
"British"	"Old"	"Man"	"Working"	3
"British"	"Young"	"Woman"	"Middle"	2
"British"	"Old"	"Man"	"Middle"	9
"American"	"Old"	"Man"	"Working"	1
"British"	"Old"	"Woman"	"Middle"	4
"British"	"Old"	"Woman"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	8
"British"	"Old"	"Man"	"Working"	7
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	0
"British"	"Young"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	5
"British"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Woman"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	7
"American"	"Young"	"Woman"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	6
"British"	"Young"	"Man"	"Middle"	5
"British"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Man"	"Middle"	7
"American"	"Old"	"Woman"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	6
"British"	"Old"	"Woman"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	5
"British"	"Old"	"Woman"	"Middle"	8
"British"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	3
"American"	"Old"	"Man"	"Middle"	2
"American"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Woman"	"Middle"	6
"American"	"Old"	"Man"	"Middle"	5
"American"	"Old"	"Man"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Man"	"Middle"	8
"American"	"Old"	"Man"	"Middle"	3
"American"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	9
"American"	"Old"	"Man"	"Middle"	6
"American"	"Old"	"Woman"	"Middle"	1
"British"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Woman"	"Middle"	4
"American"	"Young"	"Man"	"Middle"	8
"British"	"Old"	"Woman"	"Middle"	8
"British"	"Young"	"Woman"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	4
"American"	"Young"	"Woman"	"Middle"	4
"British"	"Old"	"Woman"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	7
"British"	"Young"	"Man"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	9
"British"	"Young"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	7
"British"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Woman"	"Middle"	2
"British"	"Young"	"Man"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	9
"British"	"Old"	"Man"	"Middle"	5
"American"	"Old"	"Woman"	"Middle"	2
"American"	"Old"	"Woman"	"Middle"	5
"American"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	5
"British"	"Old"	"Woman"	"Middle"	4
"American"	"Old"	"Woman"	"Middle"	1
"American"	"Young"	"Man"	"Middle"	3
"American"	"Old"	"Man"	"Middle"	2
"American"	"Old"	"Woman"	"Middle"	2
"British"	"Old"	"Woman"	"Working"	2
"American"	"Old"	"Man"	"Middle"	1
"American"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	9
"American"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Woman"	"Middle"	7
"British"	"Old"	"Man"	"Middle"	7
"American"	"Old"	"Man"	"Middle"	6
"American"	"Old"	"Man"	"Middle"	3
"American"	"Old"	"Woman"	"Middle"	6
"British"	"Old"	"Woman"	"Middle"	1
"British"	"Old"	"Man"	"Middle"	9
"British"	"Old"	"Man"	"Working"	9
"British"	"Old"	"Woman"	"Middle"	1
"British"	"Old"	"Man"	"Middle"	2
"American"	"Old"	"Man"	"Middle"	5
"British"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Woman"	"Middle"	5
"British"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Man"	"Middle"	8
"American"	"Old"	"Man"	"Middle"	9
"American"	"Young"	"Man"	"Middle"	1
"American"	"Old"	"Man"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Woman"	"Middle"	7
"British"	"Old"	"Man"	"Middle"	5
"British"	"Young"	"Man"	"Middle"	4
"British"	"Old"	"Man"	"Middle"	1
"British"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	7
"British"	"Old"	"Man"	"Middle"	5
"American"	"Old"	"Man"	"Middle"	6
"American"	"Old"	"Woman"	"Middle"	9
"British"	"Old"	"Woman"	"Middle"	1
"American"	"Old"	"Man"	"Middle"	7
"British"	"Old"	"Woman"	"Middle"	4
"British"	"Old"	"Woman"	"Middle"	9
"British"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Man"	"Middle"	7
"British"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Man"	"Working"	7
"British"	"Old"	"Man"	"Middle"	1
"British"	"Old"	"Woman"	"Working"	6
"British"	"Old"	"Man"	"Middle"	9
"British"	"Old"	"Man"	"Middle"	5
"American"	"Old"	"Woman"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	0
"American"	"Old"	"Man"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	1
"British"	"Old"	"Man"	"Middle"	8
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	7
"British"	"Old"	"Woman"	"Middle"	4
"British"	"Old"	"Man"	"Middle"	6
"American"	"Old"	"Woman"	"Middle"	7
"British"	"Old"	"Woman"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	5
"British"	"Old"	"Woman"	"Middle"	1
"British"	"Old"	"Man"	"Working"	9
"American"	"Old"	"Woman"	"Middle"	3
"American"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	8
"British"	"Old"	"Man"	"Middle"	0
"American"	"Old"	"Man"	"Middle"	6
"British"	"Young"	"Woman"	"Middle"	0
"American"	"Old"	"Woman"	"Middle"	1
"British"	"Old"	"Man"	"Working"	9
"British"	"Old"	"Man"	"Middle"	2
"American"	"Old"	"Woman"	"Middle"	5
"American"	"Old"	"Man"	"Middle"	0
"American"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Woman"	"Middle"	5
"British"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Woman"	"Middle"	4
"British"	"Old"	"Man"	"Middle"	8
"British"	"Old"	"Man"	"Middle"	6
"American"	"Old"	"Woman"	"Middle"	2
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Woman"	"Middle"	2
"British"	"Old"	"Man"	"Middle"	7
"British"	"Old"	"Woman"	"Working"	9
"British"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Woman"	"Middle"	5
"British"	"Young"	"Woman"	"Middle"	4
"American"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	1
"British"	"Old"	"Woman"	"Middle"	7
"American"	"Old"	"Woman"	"Middle"	9
"American"	"Old"	"Man"	"Working"	4
"British"	"Old"	"Man"	"Middle"	6
"British"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Woman"	"Middle"	2
"British"	"Old"	"Woman"	"Middle"	4
"American"	"Old"	"Man"	"Middle"	6
"British"	"Old"	"Woman"	"Middle"	3
"British"	"Old"	"Woman"	"Middle"	7
"British"	"Old"	"Woman"	"Working"	2
"British"	"Old"	"Woman"	"Working"	9
"American"	"Old"	"Man"	"Middle"	9
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Woman"	"Middle"	1
"British"	"Old"	"Woman"	"Middle"	4
"American"	"Old"	"Man"	"Working"	0
"American"	"Old"	"Woman"	"Middle"	5
"American"	"Old"	"Man"	"Working"	4
"American"	"Old"	"Man"	"Middle"	0
"British"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Man"	"Middle"	3
"American"	"Old"	"Man"	"Middle"	4
"British"	"Young"	"Man"	"Middle"	9
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	4
"British"	"Old"	"Man"	"Middle"	8
"British"	"Old"	"Woman"	"Middle"	9
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Man"	"Middle"	3
"British"	"Old"	"Woman"	"Middle"	0
"American"	"Young"	"Man"	"Middle"	8
"British"	"Old"	"Man"	"Middle"	9
"British"	"Old"	"Man"	"Middle"	9
"American"	"Old"	"Man"	"Middle"	2
"British"	"Old"	"Man"	"Working"	6
"British"	"Old"	"Man"	"Middle"	2
"British"	"Young"	"Man"	"Middle"	5
"American"	"Old"	"Man"	"Middle"	0
