ire	nze	can	ame	phi	jam	bre	sce	aus	ind
1	2	5	7	6	10	9	4	2	5	10
2	1	5	8	7	6	9	4	2	6	9
3	2	5	6	7	8	10	4	2	4	10
4	1	5	6	6	10	8	4	2	5	9
5	1	5	6	6	10	9	3	2	5	6
6	2	4	7	7	7	10	4	1	4	9
7	1	5	7	7	7	9	4	1	5	10
8	2	5	7	5	9	8	4	2	6	6
9	2	5	5	6	9	7	4	2	4	9
10	2	6	7	6	9	9	4	2	5	10
11	1	5	8	6	9	10	6	1	4	10
12	1	5	8	6	9	6	5	2	5	9
13	2	6	6	8	9	10	5	2	6	10
14	2	6	7	8	9	8	3	2	7	7
15	1	5	6	6	10	9	6	2	6	7
16	1	6	7	7	10	9	4	1	7	7
17	1	6	6	7	9	9	4	2	5	10
18	1	6	5	6	10	10	5	2	6	8
19	2	5	6	7	10	10	5	2	6	9
20	1	5	7	8	10	8	4	2	4	8
21	1	5	6	7	10	10	6	2	5	10
22	2	6	7	8	10	10	4	2	6	8
23	1	6	5	7	9	9	5	2	6	10
24	1	5	7	5	9	10	3	2	6	7
25	1	5	5	7	8	10	4	2	5	8
26	2	6	6	6	10	8	5	2	4	8
27	2	6	6	6	8	7	5	2	6	10
28	1	5	6	7	10	9	5	1	4	10
29	1	5	7	7	6	10	4	2	6	8
30	2	5	5	7	9	9	4	2	4	9
31	1	5	5	7	10	10	4	2	4	10
32	1	5	5	7	10	9	5	2	5	10
33	2	5	6	7	8	10	3	2	6	7
34	1	5	5	8	8	9	3	2	6	9
35	1	5	7	6	8	10	4	2	5	8
36	1	6	6	7	9	7	5	3	4	10
37	1	5	6	6	10	9	5	2	3	10
38	2	5	7	6	10	10	4	2	7	10
39	2	5	5	6	10	10	4	2	4	10
40	1	6	6	8	7	9	6	2	5	10
41	1	6	8	5	9	10	5	2	4	9
42	1	5	7	6	8	10	3	1	5	8
43	1	5	7	6	7	10	5	2	4	7
44	2	5	5	6	9	10	5	2	5	10
45	2	6	6	7	10	7	5	2	6	9
46	2	5	7	7	9	10	5	2	6	9
47	1	5	7	5	10	10	4	2	5	8
48	2	5	6	8	9	9	3	2	5	9
49	2	5	5	7	9	10	5	2	5	10
50	1	6	7	5	9	9	4	2	4	9
51	3	5	6	7	10	9	4	2	5	9
52	2	6	8	6	9	9	4	1	6	8
53	2	5	7	6	10	10	5	2	6	10
54	1	5	7	6	10	7	6	2	4	7
55	1	5	8	7	8	7	5	2	7	8
56	2	5	6	8	9	9	4	2	4	10
57	1	6	6	6	9	8	6	2	6	7
58	1	5	8	6	10	10	4	2	5	10
59	1	5	7	7	10	8	5	2	5	9
60	2	6	6	6	10	7	4	2	4	8
