"Decade"	"Amp"	"Adjective"	"N.Amp."	"N.Adj."	"OBS"	"EXP"	"Probability"	"CollStrength"	"OddsRatio"	"p"	"attr"	"sig"
"1"	1870	"pretty"	"amiable"	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"2"	1870	"pretty"	"amusing"	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"3"	1870	"pretty"	"angry"	"7"	"8"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"4"	1870	"pretty"	"annoyed"	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"5"	1870	"pretty"	"bad"	"7"	"7"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"6"	1870	"pretty"	"beautiful"	"7"	"16"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"7"	1870	"pretty"	"busy"	"7"	"108"	"0"	"0.1"	0.02	0	0	"1"	"repel"	"n.s."
"8"	1870	"pretty"	"charming"	"7"	"7"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"9"	1870	"pretty"	"clever"	"7"	"4"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"10"	1870	"pretty"	"comfortable"	"7"	"7"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"11"	1870	"pretty"	"contemptible"	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"12"	1870	"pretty"	"convenient"	"7"	"13"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"13"	1870	"pretty"	"dangerous"	"7"	"44"	"0"	"0.1"	0.01	0	0	"1"	"repel"	"n.s."
"14"	1870	"pretty"	"dark"	"7"	"11"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"15"	1870	"pretty"	"different"	"7"	"202"	"0"	"0.2"	0.03	0	0	"1"	"repel"	"n.s."
"16"	1870	"pretty"	"difficult"	"7"	"219"	"0"	"0.3"	0.04	0	0	"1"	"repel"	"n.s."
"17"	1870	"pretty"	"discouraging"	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"18"	1870	"pretty"	"dissimilar"	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
