"VERB"	"DECADE"	"verbs"	"nouns"	"freq"	"skewedness"
"1"	"ACCOUNT"	1860	40.17	140.73	180.9	-100.56
"2"	"ACCOUNT"	1870	42.34	143.79	186.13	-101.45
"3"	"ACCOUNT"	1880	40.24	127.63	167.87	-87.39
"4"	"ACCOUNT"	1890	37.95	117.4	155.35	-79.45
"5"	"ACCOUNT"	1900	36.78	126.75	163.53	-89.97
"6"	"ACCOUNT"	1910	31.43	110.35	141.78	-78.92
"7"	"ACCOUNT"	1920	32.22	100.58	132.8	-68.36
"8"	"ACCOUNT"	1930	30.39	106.34	136.73	-75.95
"9"	"ACCOUNT"	1940	26.88	76.99	103.87	-50.11
"10"	"ACCOUNT"	1950	26.31	76.11	102.42	-49.8
"11"	"ACCOUNT"	1960	33.31	86.09	119.4	-52.78
"12"	"ACCOUNT"	1970	31.13	88.48	119.61	-57.35
"13"	"ACCOUNT"	1980	37.85	104.37	142.22	-66.52
"14"	"ACCOUNT"	1990	35.73	94.45	130.18	-58.72
"15"	"ACCOUNT"	2000	30.56	83.24	113.8	-52.68
"16"	"ACT"	1860	152.58	205.78	358.36	-53.2
"17"	"ACT"	1870	154.75	186.94	341.69	-32.19
"18"	"ACT"	1880	157.19	199.59	356.78	-42.4
"19"	"ACT"	1890	137.04	173.77	310.81	-36.73
"20"	"ACT"	1900	127.46	146.8	274.26	-19.34
"21"	"ACT"	1910	133.13	139.66	272.79	-6.53
"22"	"ACT"	1920	138.46	159.41	297.87	-20.95
"23"	"ACT"	1930	134.89	197.88	332.77	-62.99
"24"	"ACT"	1940	135.35	159	294.35	-23.65
"25"	"ACT"	1950	143.08	148	291.08	-4.92
"26"	"ACT"	1960	137.96	135.41	273.37	2.55
"27"	"ACT"	1970	132.27	155.83	288.1	-23.56
"28"	"ACT"	1980	126.61	138.37	264.98	-11.76
"29"	"ACT"	1990	105.35	134.84	240.19	-29.49
"30"	"ACT"	2000	100.92	113.6	214.52	-12.68
"31"	"ADDRESS"	1860	81.58	39.77	121.35	41.81
"32"	"ADDRESS"	1870	69.96	39.01	108.97	30.95
"33"	"ADDRESS"	1880	63.38	37.23	100.61	26.15
"34"	"ADDRESS"	1890	64.01	43.48	107.49	20.53
"35"	"ADDRESS"	1900	60.64	47.96	108.6	12.68
"36"	"ADDRESS"	1910	56.41	44.67	101.08	11.74
"37"	"ADDRESS"	1920	50.8	49.74	100.54	1.06
"38"	"ADDRESS"	1930	48.78	51.28	100.06	-2.5
"39"	"ADDRESS"	1940	39.55	46.14	85.69	-6.59
"40"	"ADDRESS"	1950	41.56	42.22	83.78	-0.66
"41"	"ADDRESS"	1960	43.51	39.12	82.63	4.39
"42"	"ADDRESS"	1970	36.64	42.49	79.13	-5.85
"43"	"ADDRESS"	1980	47.62	32.81	80.43	14.81
"44"	"ADDRESS"	1990	58.22	38.71	96.93	19.51
"45"	"ADDRESS"	2000	59.36	46.24	105.6	13.12
"46"	"ANSWER"	1860	290.57	98.74	389.31	191.83
"47"	"ANSWER"	1870	301.93	104.3	406.23	197.63
"48"	"ANSWER"	1880	305.47	99.94	405.41	205.53
"49"	"ANSWER"	1890	308.5	100.22	408.72	208.28
"50"	"ANSWER"	1900	340.66	117.61	458.27	223.05
"51"	"ANSWER"	1910	282.01	116.66	398.67	165.35
"52"	"ANSWER"	1920	246.84	108.61	355.45	138.23
"53"	"ANSWER"	1930	190.1	105.52	295.62	84.58
"54"	"ANSWER"	1940	187.45	129.22	316.67	58.23
"55"	"ANSWER"	1950	175.34	137.8	313.14	37.54
"56"	"ANSWER"	1960	162.49	133.53	296.02	28.96
"57"	"ANSWER"	1970	166.52	120.87	287.39	45.65
"58"	"ANSWER"	1980	147.03	122.09	269.12	24.94
"59"	"ANSWER"	1990	142.73	116.08	258.81	26.65
"60"	"ANSWER"	2000	139.11	114.66	253.77	24.45
"61"	"APPROACH"	1860	106.69	38.72	145.41	67.97
"62"	"APPROACH"	1870	106.66	37.88	144.54	68.78
"63"	"APPROACH"	1880	87.39	29.42	116.81	57.97
"64"	"APPROACH"	1890	87.66	34.37	122.03	53.29
"65"	"APPROACH"	1900	79.5	28.04	107.54	51.46
"66"	"APPROACH"	1910	83.69	26.75	110.44	56.94
"67"	"APPROACH"	1920	76.31	28.79	105.1	47.52
"68"	"APPROACH"	1930	73.08	28.06	101.14	45.02
"69"	"APPROACH"	1940	65.61	36.32	101.93	29.29
"70"	"APPROACH"	1950	70.21	56.89	127.1	13.32
"71"	"APPROACH"	1960	76.77	66.99	143.76	9.78
"72"	"APPROACH"	1970	79.05	67.48	146.53	11.57
"73"	"APPROACH"	1980	83.84	73.79	157.63	10.05
"74"	"APPROACH"	1990	76.84	88.78	165.62	-11.94
"75"	"APPROACH"	2000	85.11	87.82	172.93	-2.71
"76"	"ATTACK"	1860	48.41	72.29	120.7	-23.88
"77"	"ATTACK"	1870	55.88	77.27	133.15	-21.39
"78"	"ATTACK"	1880	40.2	56.01	96.21	-15.81
