ID	Trial	Language	Gender	UHM	Shots
1	3	Russian	Man	0	0
2	3	Russian	Man	0	0
3	3	German	Man	0	5
4	1	German	Man	0	3
5	1	German	Woman	2	6
6	3	German	Man	1	5
7	1	Mandarin	Man	1	1
8	3	German	Woman	0	4
9	3	Russian	Woman	0	0
10	2	German	Man	0	2
11	3	Russian	Man	0	1
12	2	German	Man	0	1
13	3	Russian	Woman	0	1
14	2	Russian	Woman	4	4
15	2	English	Man	0	4
16	1	Mandarin	Man	0	1
17	2	German	Man	1	7
18	3	Mandarin	Man	0	1
19	1	Mandarin	Woman	0	1
20	3	German	Man	0	3
21	2	English	Man	0	4
22	3	Mandarin	Woman	0	1
23	2	English	Man	0	2
24	3	German	Man	2	5
25	2	German	Man	0	3
26	2	Mandarin	Woman	0	1
27	2	English	Man	0	2
28	2	Russian	Man	0	0
29	3	Russian	Woman	2	4
30	2	German	Woman	0	2
31	2	Russian	Woman	4	6
32	2	German	Woman	0	0
33	2	Mandarin	Woman	0	2
34	2	German	Man	0	1
35	2	English	Man	0	2
36	2	German	Man	0	2
37	1	German	Man	1	3
38	3	Russian	Woman	0	0
39	2	Mandarin	Man	0	3
40	1	Mandarin	Woman	1	1
41	2	German	Woman	0	2
42	3	German	Woman	0	1
43	3	German	Woman	0	4
44	1	German	Man	1	4
45	2	Mandarin	Man	0	1
46	1	Mandarin	Man	0	4
47	3	German	Man	0	5
48	2	German	Woman	0	0
49	2	German	Man	0	3
50	2	Russian	Woman	0	7
51	2	German	Woman	0	2
52	1	English	Man	2	8
53	2	Mandarin	Woman	0	2
54	1	Mandarin	Man	0	3
55	3	English	Man	0	2
56	2	German	Man	0	3
57	2	German	Woman	0	4
58	1	Mandarin	Man	0	1
59	2	Mandarin	Man	0	1
60	1	English	Woman	0	3
61	2	German	Woman	2	4
62	2	Mandarin	Woman	0	1
63	3	English	Woman	1	5
64	3	German	Man	0	2
65	1	Mandarin	Man	1	3
66	3	German	Woman	0	1
67	1	English	Woman	0	7
68	1	Mandarin	Man	0	1
69	2	German	Man	0	2
70	3	German	Woman	1	5
71	2	German	Man	0	2
72	2	German	Woman	0	0
73	1	Mandarin	Woman	1	3
74	2	English	Man	2	4
75	1	English	Woman	0	6
76	3	Russian	Woman	0	0
77	1	German	Man	0	4
