pint	adjs	remove
0	last	keep
0	good	keep
0	interesting	keep
0	flat	keep
well	last	keep
0	real	keep
real	bad	keep
0	good	keep
0	old	keep
0	first	keep
0	amazing	keep
0	good	keep
0	few	keep
0	new	keep
0	okay	keep
0	okay	keep
0	beautiful	keep
0	same	keep
0	little	keep
0	little	keep
0	red	keep
0	great	keep
0	cheap	keep
0	good	keep
0	first	keep
0	okay	keep
0	bloody	keep
0	same	keep
really	nice	keep
0	long	keep
0	long	keep
0	long	keep
0	okay	keep
0	new	keep
0	last	keep
0	last	keep
0	first	keep
0	real	keep
0	whole	keep
0	new	keep
0	same	keep
0	quick	keep
0	quick	keep
0	real	keep
0	good	keep
0	old	keep
0	good	keep
0	right	keep
0	real	keep
0	interesting	keep
0	little	keep
0	nice	keep
0	white	keep
0	last	keep
0	past	keep
0	real	keep
0	mean	keep
0	past	keep
0	black	keep
0	white	keep
0	black	keep
0	white	keep
0	new	keep
0	new	keep
0	new	keep
0	old	keep
0	new	keep
0	real	keep
0	okay	keep
0	wide	keep
0	last	keep
0	full	keep
0	last	keep
0	sure	keep
0	okay	keep
0	okay	keep
0	fine	keep
0	bloody	keep
0	fair	keep
0	new	keep
0	specific	keep
0	specific	keep
very	good	keep
0	first	keep
0	first	keep
really	early	keep
0	certain	keep
0	common	keep
0	last	keep
0	last	keep
0	basic	keep
0	right	keep
0	fine	keep
0	hard	keep
0	last	keep
0	old	keep
0	fine	keep
0	bad	keep
0	hard	keep
0	poor	keep
0	poor	keep
0	new	keep
0	last	keep
really	bad	keep
0	real	keep
0	last	keep
0	whole	keep
0	bad	keep
0	good	keep
0	little	keep
0	last	keep
0	real	keep
0	okay	keep
0	black	keep
0	best	keep
0	whole	keep
0	single	keep
0	single	keep
0	right	keep
0	sure	keep
0	nice	keep
0	real	keep
really	bad	keep
0	last	keep
0	little	keep
0	best	keep
0	little	keep
0	great	keep
0	nice	keep
0	happy	keep
0	little	keep
0	new	keep
0	old	keep
0	new	keep
0	lovely	keep
0	best	keep
0	little	keep
0	mean	keep
0	little	keep
0	few	keep
0	little	keep
0	little	keep
0	black	keep
0	white	keep
0	old	keep
0	able	keep
0	true	keep
so	long	keep
0	whole	keep
0	happy	keep
0	fine	keep
0	short	keep
0	little	keep
0	personal	keep
0	old	keep
0	mean	keep
0	certain	keep
0	same	keep
really	wonderful	keep
0	great	keep
0	new	keep
0	low	keep
0	right	keep
0	little	keep
0	little	keep
0	specific	keep
0	whole	keep
0	few	keep
0	next	keep
0	hard	keep
0	next	keep
0	public	keep
0	private	keep
0	private	keep
0	great	keep
0	same	keep
0	same	keep
0	little	keep
0	great	keep
0	red	keep
0	right	keep
pretty	good	keep
0	long	keep
0	last	keep
0	old	keep
0	sorry	keep
0	sure	keep
0	good	keep
0	good	keep
really	easy	keep
0	good	keep
0	same	keep
0	good	keep
0	sure	keep
0	good	keep
pretty	strong	keep
0	full	keep
0	late	keep
0	early	keep
0	next	keep
0	late	keep
0	late	keep
0	late	keep
0	early	keep
0	similar	keep
0	next	keep
0	interesting	keep
0	next	keep
0	different	keep
0	mean	keep
0	true	keep
0	last	keep
0	hard	keep
0	same	keep
0	old	keep
0	mean	keep
0	sure	keep
0	sure	keep
0	different	keep
really	long	keep
0	new	keep
0	young	keep
0	economic	keep
0	old	keep
0	true	keep
0	hard	keep
0	whole	keep
0	past	keep
0	different	keep
0	high	keep
0	good	keep
0	last	keep
0	good	keep
0	first	keep
0	great	keep
0	full	keep
0	huge	keep
0	funny	keep
0	great	keep
0	good	keep
0	good	keep
really	funny	keep
0	small	keep
0	next	keep
0	okay	keep
0	next	keep
0	white	keep
0	few	keep
0	whole	keep
0	little	keep
0	fair	keep
0	little	keep
0	good	keep
0	whole	keep
0	wrong	keep
really	good	keep
really	nice	keep
0	last	keep
0	little	keep
0	old	keep
0	old	keep
0	real	keep
0	whole	keep
0	little	keep
0	sorry	keep
really	amazing	keep
0	bad	keep
0	bad	keep
0	next	keep
0	good	keep
0	good	keep
0	good	keep
0	good	keep
0	same	keep
0	funny	keep
0	right	keep
0	same	keep
0	old	keep
0	old	keep
0	old	keep
0	mean	keep
0	single	keep
0	same	keep
0	happy	keep
0	happy	keep
0	mean	keep
0	different	keep
0	social	keep
0	best	keep
0	bad	keep
0	mean	keep
0	mean	keep
0	good	keep
0	long	keep
0	last	keep
0	good	keep
really	good	keep
0	best	keep
pretty	good	keep
0	new	keep
0	black	keep
0	black	keep
really	good	keep
0	amazing	keep
0	nice	keep
0	same	keep
0	same	keep
0	same	keep
0	poor	keep
0	few	keep
pretty	cheap	keep
0	new	keep
0	good	keep
0	whole	keep
0	right	keep
0	mean	keep
0	main	keep
0	nice	keep
really	poor	keep
0	amazing	keep
0	little	keep
0	little	keep
0	last	keep
0	good	keep
0	red	keep
0	next	keep
0	good	keep
0	best	keep
0	best	keep
0	good	keep
0	next	keep
0	nice	keep
0	next	keep
0	first	keep
0	next	keep
0	good	keep
0	good	keep
0	good	keep
really	good	keep
0	first	keep
0	good	keep
0	long	keep
0	late	keep
0	good	keep
0	good	keep
0	real	keep
real	high	keep
0	hard	keep
0	first	keep
very	sorry	keep
0	little	keep
0	little	keep
0	full	keep
0	first	keep
0	little	keep
0	few	keep
0	little	keep
0	black	keep
0	past	keep
0	first	keep
0	little	keep
0	little	keep
0	lovely	keep
0	past	keep
0	sure	keep
0	right	keep
0	flat	keep
0	old	keep
0	beautiful	keep
0	lovely	keep
0	new	keep
0	okay	keep
0	good	keep
0	new	keep
0	true	keep
0	new	keep
0	new	keep
0	bad	keep
0	top	keep
0	little	keep
0	able	keep
0	clear	keep
0	clear	keep
0	last	keep
0	little	keep
very	good	keep
0	easy	keep
0	cheap	keep
0	small	keep
0	local	keep
0	poor	keep
0	old	keep
0	last	keep
0	true	keep
0	wrong	keep
0	wrong	keep
0	wrong	keep
0	different	keep
pretty	good	keep
0	different	keep
0	different	keep
0	sure	keep
0	long	keep
0	new	keep
0	social	keep
0	sure	keep
0	new	keep
0	certain	keep
0	full	keep
0	young	keep
0	sure	keep
0	huge	keep
0	particular	keep
0	cheap	keep
0	next	keep
0	next	keep
0	young	keep
0	sure	keep
0	private	keep
really	hard	keep
0	social	keep
0	social	keep
0	same	keep
0	little	keep
0	true	keep
0	fair	keep
0	fine	keep
0	fine	keep
0	first	keep
0	okay	keep
0	good	keep
0	last	keep
0	okay	keep
0	best	keep
0	same	keep
0	mean	keep
really	high	keep
0	little	keep
0	private	keep
0	long	keep
0	short	keep
0	short	keep
0	mean	keep
0	nice	keep
0	high	keep
0	whole	keep
0	different	keep
0	basic	keep
0	different	keep
0	old	keep
0	good	keep
0	high	keep
0	different	keep
0	okay	keep
0	good	keep
0	mean	keep
0	same	keep
0	last	keep
0	cheap	keep
0	various	keep
very	difficult	keep
0	little	keep
0	little	keep
0	little	keep
0	little	keep
0	difficult	keep
0	little	keep
0	little	keep
very	nice	keep
0	different	keep
0	okay	keep
0	good	keep
0	good	keep
0	good	keep
0	long	keep
0	okay	keep
0	sure	keep
0	nice	keep
0	sure	keep
really	good	keep
0	nice	keep
0	old	keep
really	old	keep
0	okay	keep
0	extra	keep
0	extra	keep
0	okay	keep
0	long	keep
0	high	keep
0	whole	keep
0	east	keep
0	bloody	keep
0	east	keep
0	actual	keep
0	okay	keep
0	little	keep
0	good	keep
0	same	keep
0	old	keep
0	good	keep
really	hard	keep
0	new	keep
0	difficult	keep
0	same	keep
really	good	keep
0	interested	keep
0	east	keep
0	able	keep
