"ID_rater"	"ID_child"	"age_group"	"accent_response"	"accent_numeric"	"rating_language"	"age_months"	"family"
"1"	"R1"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"2"	"R2"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"3"	"R3"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"4"	"R4"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"5"	"R5"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"6"	"R6"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"7"	"R7"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"8"	"R8"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"9"	"R9"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"10"	"R10"	"002SIN"	"preschool"	"w"	1	"DE"	64	"bil-rus"
"11"	"R11"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"12"	"R12"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"13"	"R13"	"002SIN"	"preschool"	"w"	1	"DE"	64	"bil-rus"
"14"	"R14"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"15"	"R15"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"16"	"R16"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"17"	"R17"	"002SIN"	"preschool"	"w"	1	"DE"	64	"bil-rus"
"18"	"R18"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"19"	"R19"	"002SIN"	"preschool"	"w"	1	"DE"	64	"bil-rus"
"20"	"R20"	"002SIN"	"preschool"	"s"	2	"DE"	64	"bil-rus"
"21"	"R21"	"002SIN"	"preschool"	"w"	1	"DE"	64	"bil-rus"
"22"	"R1"	"003SIN"	"preschool"	"s"	2	"DE"	61	"bil-mixed"
"23"	"R2"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"24"	"R3"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"25"	"R4"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"26"	"R5"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"27"	"R6"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"28"	"R7"	"003SIN"	"preschool"	"s"	2	"DE"	61	"bil-mixed"
"29"	"R8"	"003SIN"	"preschool"	"s"	2	"DE"	61	"bil-mixed"
"30"	"R9"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"31"	"R10"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"32"	"R11"	"003SIN"	"preschool"	"s"	2	"DE"	61	"bil-mixed"
"33"	"R12"	"003SIN"	"preschool"	"s"	2	"DE"	61	"bil-mixed"
"34"	"R13"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"35"	"R14"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"36"	"R15"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"37"	"R16"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"38"	"R17"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"39"	"R18"	"003SIN"	"preschool"	"s"	2	"DE"	61	"bil-mixed"
"40"	"R19"	"003SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"41"	"R20"	"003SIN"	"preschool"	"s"	2	"DE"	61	"bil-mixed"
"42"	"R21"	"003SIN"	"preschool"	"s"	2	"DE"	61	"bil-mixed"
"43"	"R1"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"44"	"R2"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"45"	"R3"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"46"	"R4"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"47"	"R5"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"48"	"R6"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"49"	"R7"	"005SIN"	"preschool"	"no"	0	"DE"	60	"bil-rus"
"50"	"R8"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"51"	"R9"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"52"	"R10"	"005SIN"	"preschool"	"w"	1	"DE"	60	"bil-rus"
"53"	"R11"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"54"	"R12"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"55"	"R13"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"56"	"R14"	"005SIN"	"preschool"	"w"	1	"DE"	60	"bil-rus"
"57"	"R15"	"005SIN"	"preschool"	"w"	1	"DE"	60	"bil-rus"
"58"	"R16"	"005SIN"	"preschool"	"w"	1	"DE"	60	"bil-rus"
"59"	"R17"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"60"	"R18"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"61"	"R19"	"005SIN"	"preschool"	"w"	1	"DE"	60	"bil-rus"
"62"	"R20"	"005SIN"	"preschool"	"s"	2	"DE"	60	"bil-rus"
"63"	"R21"	"005SIN"	"preschool"	"w"	1	"DE"	60	"bil-rus"
"64"	"R1"	"007SIN"	"school"	"s"	2	"DE"	110	"bil-rus"
"65"	"R2"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"66"	"R3"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"67"	"R4"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"68"	"R5"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"69"	"R6"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"70"	"R7"	"007SIN"	"school"	"s"	2	"DE"	110	"bil-rus"
"71"	"R8"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"72"	"R9"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"73"	"R10"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"74"	"R11"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"75"	"R12"	"007SIN"	"school"	"no"	0	"DE"	110	"bil-rus"
"76"	"R13"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"77"	"R14"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"78"	"R15"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"79"	"R16"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"80"	"R17"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"81"	"R18"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"82"	"R19"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"83"	"R20"	"007SIN"	"school"	"w"	1	"DE"	110	"bil-rus"
"84"	"R21"	"007SIN"	"school"	"s"	2	"DE"	110	"bil-rus"
"85"	"R1"	"008SIN"	"school"	"no"	0	"DE"	100	"bil-rus"
"86"	"R2"	"008SIN"	"school"	"no"	0	"DE"	100	"bil-rus"
"87"	"R3"	"008SIN"	"school"	"no"	0	"DE"	100	"bil-rus"
"88"	"R4"	"008SIN"	"school"	"w"	1	"DE"	100	"bil-rus"
"89"	"R5"	"008SIN"	"school"	"no"	0	"DE"	100	"bil-rus"
"90"	"R6"	"008SIN"	"school"	"no"	0	"DE"	100	"bil-rus"
"91"	"R7"	"008SIN"	"school"	"s"	2	"DE"	100	"bil-rus"
"92"	"R8"	"008SIN"	"school"	"w"	1	"DE"	100	"bil-rus"
"93"	"R9"	"008SIN"	"school"	"no"	0	"DE"	100	"bil-rus"
"94"	"R10"	"008SIN"	"school"	"w"	1	"DE"	100	"bil-rus"
"95"	"R11"	"008SIN"	"school"	"w"	1	"DE"	100	"bil-rus"
"96"	"R12"	"008SIN"	"school"	"w"	1	"DE"	100	"bil-rus"
"97"	"R13"	"008SIN"	"school"	"w"	1	"DE"	100	"bil-rus"
"98"	"R14"	"008SIN"	"school"	"w"	1	"DE"	100	"bil-rus"
"99"	"R15"	"008SIN"	"school"	"no"	0	"DE"	100	"bil-rus"
"100"	"R16"	"008SIN"	"school"	"w"	1	"DE"	100	"bil-rus"
"101"	"R17"	"008SIN"	"school"	"no"	0	"DE"	100	"bil-rus"
"102"	"R18"	"008SIN"	"school"	"no"	0	"DE"	100	"bil-rus"
"103"	"R19"	"008SIN"	"school"	"no"	0	"DE"	100	"bil-rus"
"104"	"R20"	"008SIN"	"school"	"w"	1	"DE"	100	"bil-rus"
"105"	"R21"	"008SIN"	"school"	"no"	0	"DE"	100	"bil-rus"
"106"	"R1"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"107"	"R2"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"108"	"R3"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"109"	"R4"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"110"	"R5"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"111"	"R6"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"112"	"R7"	"010SIN"	"school"	"s"	2	"DE"	102	"bil-rus"
"113"	"R8"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"114"	"R9"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"115"	"R10"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"116"	"R11"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"117"	"R12"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"118"	"R13"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"119"	"R14"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"120"	"R15"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"121"	"R16"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"122"	"R17"	"010SIN"	"school"	"no"	0	"DE"	102	"bil-rus"
"123"	"R18"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"124"	"R19"	"010SIN"	"school"	"no"	0	"DE"	102	"bil-rus"
"125"	"R20"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"126"	"R21"	"010SIN"	"school"	"w"	1	"DE"	102	"bil-rus"
"127"	"R1"	"012SIN"	"preschool"	"s"	2	"DE"	76	"bil-rus"
"128"	"R2"	"012SIN"	"preschool"	"s"	2	"DE"	76	"bil-rus"
"129"	"R3"	"012SIN"	"preschool"	"w"	1	"DE"	76	"bil-rus"
"130"	"R4"	"012SIN"	"preschool"	"s"	2	"DE"	76	"bil-rus"
"131"	"R5"	"012SIN"	"preschool"	"w"	1	"DE"	76	"bil-rus"
"132"	"R6"	"012SIN"	"preschool"	"s"	2	"DE"	76	"bil-rus"
"133"	"R7"	"012SIN"	"preschool"	"s"	2	"DE"	76	"bil-rus"
"134"	"R8"	"012SIN"	"preschool"	"s"	2	"DE"	76	"bil-rus"
"135"	"R9"	"012SIN"	"preschool"	"w"	1	"DE"	76	"bil-rus"
"136"	"R10"	"012SIN"	"preschool"	"w"	1	"DE"	76	"bil-rus"
"137"	"R11"	"012SIN"	"preschool"	"w"	1	"DE"	76	"bil-rus"
"138"	"R12"	"012SIN"	"preschool"	"w"	1	"DE"	76	"bil-rus"
"139"	"R13"	"012SIN"	"preschool"	"w"	1	"DE"	76	"bil-rus"
"140"	"R14"	"012SIN"	"preschool"	"w"	1	"DE"	76	"bil-rus"
"141"	"R15"	"012SIN"	"preschool"	"s"	2	"DE"	76	"bil-rus"
"142"	"R16"	"012SIN"	"preschool"	"w"	1	"DE"	76	"bil-rus"
"143"	"R17"	"012SIN"	"preschool"	"s"	2	"DE"	76	"bil-rus"
"144"	"R18"	"012SIN"	"preschool"	"s"	2	"DE"	76	"bil-rus"
"145"	"R19"	"012SIN"	"preschool"	"s"	2	"DE"	76	"bil-rus"
"146"	"R20"	"012SIN"	"preschool"	"w"	1	"DE"	76	"bil-rus"
"147"	"R21"	"012SIN"	"preschool"	"s"	2	"DE"	76	"bil-rus"
"148"	"R1"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"149"	"R2"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"150"	"R3"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"151"	"R4"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"152"	"R5"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"153"	"R6"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"154"	"R7"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"155"	"R8"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"156"	"R9"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"157"	"R10"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"158"	"R11"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"159"	"R12"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"160"	"R13"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"161"	"R14"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"162"	"R15"	"013SIN"	"school"	"w"	1	"DE"	86	"bil-rus"
"163"	"R16"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"164"	"R17"	"013SIN"	"school"	"w"	1	"DE"	86	"bil-rus"
"165"	"R18"	"013SIN"	"school"	"no"	0	"DE"	86	"bil-rus"
"166"	"R19"	"013SIN"	"school"	"w"	1	"DE"	86	"bil-rus"
"167"	"R20"	"013SIN"	"school"	"w"	1	"DE"	86	"bil-rus"
"168"	"R21"	"013SIN"	"school"	"w"	1	"DE"	86	"bil-rus"
"169"	"R1"	"014SIN"	"preschool"	"s"	2	"DE"	61	"bil-mixed"
"170"	"R2"	"014SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"171"	"R3"	"014SIN"	"preschool"	"no"	0	"DE"	61	"bil-mixed"
"172"	"R4"	"014SIN"	"preschool"	"no"	0	"DE"	61	"bil-mixed"
"173"	"R5"	"014SIN"	"preschool"	"no"	0	"DE"	61	"bil-mixed"
"174"	"R6"	"014SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"175"	"R7"	"014SIN"	"preschool"	"no"	0	"DE"	61	"bil-mixed"
"176"	"R8"	"014SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"177"	"R9"	"014SIN"	"preschool"	"no"	0	"DE"	61	"bil-mixed"
"178"	"R10"	"014SIN"	"preschool"	"no"	0	"DE"	61	"bil-mixed"
"179"	"R11"	"014SIN"	"preschool"	"s"	2	"DE"	61	"bil-mixed"
"180"	"R12"	"014SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"181"	"R13"	"014SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"182"	"R14"	"014SIN"	"preschool"	"no"	0	"DE"	61	"bil-mixed"
"183"	"R15"	"014SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"184"	"R16"	"014SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"185"	"R17"	"014SIN"	"preschool"	"no"	0	"DE"	61	"bil-mixed"
"186"	"R18"	"014SIN"	"preschool"	"w"	1	"DE"	61	"bil-mixed"
"187"	"R19"	"014SIN"	"preschool"	"no"	0	"DE"	61	"bil-mixed"
"188"	"R20"	"014SIN"	"preschool"	"no"	0	"DE"	61	"bil-mixed"
"189"	"R21"	"014SIN"	"preschool"	"no"	0	"DE"	61	"bil-mixed"
"190"	"R1"	"015SIN"	"preschool"	"w"	1	"DE"	72	"bil-rus"
"191"	"R2"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
"192"	"R3"	"015SIN"	"preschool"	"w"	1	"DE"	72	"bil-rus"
"193"	"R4"	"015SIN"	"preschool"	"s"	2	"DE"	72	"bil-rus"
