id,created_at,author_id,text,referenced_tweets.retweeted.id,public_metrics.like_count
1456474791523794945,2021-11-05T04:13:44.000Z,1252541581355335681,Image prediction: echidna\nConfidence: 10.09%\nSubmission by @xkmi_ https://t.co/MMZ3yfw8PY,1456054591557038082,2467
1456471097067466758,2021-11-05T03:59:04.000Z,1068577271139586048,Echidna 🖤(Re: Zero)\n\n[A portion of cool art] https://t.co/4v5E5BwRSg,1456001532961374214,644
1456469991876857859,2021-11-05T03:54:40.000Z,888864757377355776,Jeff the Echidna,,0
1456469789770059782,2021-11-05T03:53:52.000Z,1429550341448781835,"For some reason, I found Knuckles the Echidna easier than Bob Charlie. https://t.co/C9MJp6TS7v",,0
1456467959438794754,2021-11-05T03:46:36.000Z,1333786120514015242,Mara The Echidna by @JJackhog on https://t.co/wvoviO1md1\nhttps://t.co/PYeMFV0Msi,,0
1456467518885871622,2021-11-05T03:44:51.000Z,1283250079852355587,goodnight to everyone who likes echidna! the rest of you.......goodnight i guess,,1
1456465069496283138,2021-11-05T03:35:07.000Z,1212544675413815296,"@bannedagaincope @ManMilk2 That's nature bro, at least you haven't seen an Echidna's Wilbert https://t.co/6KvYHqpSSY",,0
1456464899597500417,2021-11-05T03:34:26.000Z,1228759098830786561,Everyone's not so favorite legionnaire\nEgotistical echidna can also be snarky\nCan still ship but it won't be easy to win me over\nLewd but is sfw on tl\nMultiship\nRetweet and like\nOh and multiverse https://t.co/Ffn5INAKbG,1285534514131787777,111
1456464857235140630,2021-11-05T03:34:16.000Z,1340523064778510338,@Sdoelkar Space Echidna 😈🔥 https://t.co/piPQj9Zzho,,1
1456460693079613441,2021-11-05T03:17:43.000Z,2363878134,Since you really loves niffler but I can get the real one so I will just give you this echidna puggles so you can assume that this is niffler @AINTHOULT ❤ now this is our new pets https://t.co/hSlBCTzWL5,1456443757885149187,1
1456460416893267969,2021-11-05T03:16:37.000Z,913345981,@Lady_Echidna I'm already pub stomping levels of good at this game. Can't wait to take the scrubs out to the curb.,,0
