"Question1"	"Question2"	"Question3"	"Question4"	"Question5"	"Question6"	"Question7"	"Question8"	"Question9"	"Question10"
"Respondent1"	"Disagree"	"Strongly agree"	"Strongly agree"	"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Agree"	"Disagree"	"Strongly disagree"	"Agree"
"Respondent2"	"Agree"	"Strongly disagree"	"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly agree"	"Strongly disagree"
"Respondent3"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Agree"	"Disagree"	"Disagree"
"Respondent4"	"Disagree"	"Disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Disagree"	"Agree"	"Strongly disagree"	"Strongly disagree"	"Agree"
"Respondent5"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"
"Respondent6"	"Agree"	"Strongly disagree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly agree"	"Strongly disagree"
"Respondent7"	"Disagree"	"Disagree"	"Disagree"	"Strongly agree"	"Disagree"	"Disagree"	"Disagree"	"Strongly agree"	"Agree"	"Agree"
"Respondent8"	"Agree"	"Strongly disagree"	"Strongly disagree"	"Agree"	"Agree"	"Disagree"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Disagree"
"Respondent9"	"Agree"	"Agree"	"Disagree"	"Agree"	"Strongly disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"
"Respondent10"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Agree"	"Disagree"	"Strongly agree"	"Strongly disagree"	"Strongly agree"	"Strongly agree"	"Agree"
"Respondent11"	"Disagree"	"Disagree"	"Strongly agree"	"Strongly agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Strongly agree"
"Respondent12"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"
"Respondent13"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Disagree"	"Strongly disagree"
"Respondent14"	"Strongly disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Strongly disagree"	"Agree"	"Disagree"	"Strongly disagree"	"Agree"
"Respondent15"	"Strongly disagree"	"Disagree"	"Strongly agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Strongly disagree"	"Strongly agree"
"Respondent16"	"Strongly disagree"	"Strongly agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Strongly disagree"	"Strongly disagree"	"Disagree"
"Respondent17"	"Strongly disagree"	"Disagree"	"Strongly agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Disagree"	"Strongly disagree"	"Strongly agree"
"Respondent18"	"Disagree"	"Strongly agree"	"Agree"	"Disagree"	"Strongly agree"	"Strongly disagree"	"Agree"	"Disagree"	"Strongly disagree"	"Strongly agree"
"Respondent19"	"Strongly disagree"	"Strongly agree"	"Agree"	"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Strongly agree"	"Disagree"	"Strongly disagree"	"Strongly agree"
"Respondent20"	"Disagree"	"Agree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Strongly agree"	"Strongly agree"
"Respondent21"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Strongly disagree"	"Agree"	"Strongly disagree"	"Strongly disagree"	"Strongly agree"
"Respondent22"	"Agree"	"Disagree"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Disagree"	"Strongly agree"	"Strongly agree"	"Disagree"	"Disagree"
