"Course"	"Satisfaction"
"1"	"Chinese"	1
"2"	"Chinese"	1
"3"	"Chinese"	1
"4"	"Chinese"	1
"5"	"Chinese"	1
"6"	"Chinese"	1
"7"	"Chinese"	1
"8"	"Chinese"	1
"9"	"Chinese"	1
"10"	"Chinese"	1
"11"	"Chinese"	1
"12"	"Chinese"	1
"13"	"Chinese"	1
"14"	"Chinese"	1
"15"	"Chinese"	1
"16"	"Chinese"	1
"17"	"Chinese"	1
"18"	"Chinese"	1
"19"	"Chinese"	1
"20"	"Chinese"	1
"21"	"Chinese"	2
"22"	"Chinese"	2
"23"	"Chinese"	2
"24"	"Chinese"	2
"25"	"Chinese"	2
"26"	"Chinese"	2
"27"	"Chinese"	2
"28"	"Chinese"	2
"29"	"Chinese"	2
"30"	"Chinese"	2
"31"	"Chinese"	2
"32"	"Chinese"	2
"33"	"Chinese"	2
"34"	"Chinese"	2
"35"	"Chinese"	2
"36"	"Chinese"	2
"37"	"Chinese"	2
"38"	"Chinese"	2
"39"	"Chinese"	2
"40"	"Chinese"	2
"41"	"Chinese"	2
"42"	"Chinese"	2
"43"	"Chinese"	2
"44"	"Chinese"	2
"45"	"Chinese"	2
"46"	"Chinese"	2
"47"	"Chinese"	2
"48"	"Chinese"	2
"49"	"Chinese"	2
"50"	"Chinese"	2
"51"	"Chinese"	3
"52"	"Chinese"	3
"53"	"Chinese"	3
"54"	"Chinese"	3
"55"	"Chinese"	3
"56"	"Chinese"	3
"57"	"Chinese"	3
"58"	"Chinese"	3
"59"	"Chinese"	3
"60"	"Chinese"	3
"61"	"Chinese"	3
"62"	"Chinese"	3
"63"	"Chinese"	3
"64"	"Chinese"	3
"65"	"Chinese"	3
"66"	"Chinese"	3
"67"	"Chinese"	3
"68"	"Chinese"	3
"69"	"Chinese"	3
"70"	"Chinese"	3
"71"	"Chinese"	3
"72"	"Chinese"	3
"73"	"Chinese"	3
"74"	"Chinese"	3
"75"	"Chinese"	3
"76"	"Chinese"	4
"77"	"Chinese"	4
"78"	"Chinese"	4
"79"	"Chinese"	4
"80"	"Chinese"	4
"81"	"Chinese"	4
"82"	"Chinese"	4
"83"	"Chinese"	4
"84"	"Chinese"	4
"85"	"Chinese"	4
"86"	"Chinese"	5
"87"	"Chinese"	5
"88"	"Chinese"	5
"89"	"Chinese"	5
"90"	"Chinese"	5
"91"	"Chinese"	5
"92"	"Chinese"	5
"93"	"Chinese"	5
"94"	"Chinese"	5
"95"	"Chinese"	5
"96"	"Chinese"	5
"97"	"Chinese"	5
"98"	"Chinese"	5
"99"	"Chinese"	5
"100"	"Chinese"	5
"101"	"German"	1
"102"	"German"	1
"103"	"German"	1
"104"	"German"	1
"105"	"German"	1
"106"	"German"	1
"107"	"German"	1
"108"	"German"	1
"109"	"German"	1
"110"	"German"	1
"111"	"German"	1
"112"	"German"	1
"113"	"German"	1
"114"	"German"	1
"115"	"German"	1
"116"	"German"	1
"117"	"German"	1
"118"	"German"	1
"119"	"German"	1
"120"	"German"	1
"121"	"German"	1
"122"	"German"	1
"123"	"German"	1
"124"	"German"	1
"125"	"German"	1
"126"	"German"	1
"127"	"German"	1
"128"	"German"	1
"129"	"German"	1
"130"	"German"	1
"131"	"German"	1
"132"	"German"	1
"133"	"German"	1
"134"	"German"	1
"135"	"German"	1
"136"	"German"	1
"137"	"German"	1
"138"	"German"	1
"139"	"German"	1
"140"	"German"	1
"141"	"German"	2
"142"	"German"	2
"143"	"German"	2
"144"	"German"	2
"145"	"German"	2
"146"	"German"	2
"147"	"German"	2
"148"	"German"	2
"149"	"German"	2
"150"	"German"	2
"151"	"German"	2
"152"	"German"	2
"153"	"German"	2
"154"	"German"	2
