date	genre	text	pptw	region
1736	SCIENCE_OTHER	albin	166.01	north
1711	EDUC_TREATISE	anon	139.86	north
1808	LETTERS_PRIV	austen	130.78	north
1878	EDUC_TREATISE	bain	151.29	north
1743	EDUC_TREATISE	barclay	145.72	north
1908	EDUC_TREATISE	benson	120.77	north
1906	DIARY_PRIV	benson	119.17	north
1897	PHILOSOPHY	boethja	132.96	north
1785	PHILOSOPHY	boethri	130.49	north
1776	DIARY_PRIV	boswell	135.94	north
1905	TRAVELOGUE	bradley	154.2	north
1711	EDUC_TREATISE	brightland	149.14	north
1762	SERMON	burton	159.71	north
1726	SERMON	butler	157.49	north
1835	LETTERS_PRIV	carlyle	124.16	north
1837	HISTORY	carlyle	134.48	north
1774	EDUC_TREATISE	chapman	153.54	north
1776	TRAVELOGUE	cook	140.22	north
1712	TRAVELOGUE	cooke	150	north
1719	FICTION	defoe	131.48	north
1837	FICTION	dickens	126.63	north
1747	BIOGRAPHY_OTHER	doddridge	152.89	north
1718	HANDBOOK_OTHER	drummond	150.66	north
1881	BIBLE	erv	107.17	north
1885	BIBLE	erv	134.67	north
1859	SCIENCE_OTHER	faraday	134.34	north
1749	FICTION	fielding	128.82	north
1886	HANDBOOK_OTHER	fleming	155.57	north
1830	SERMON	froude	150.1	north
1763	LETTERS_NON-PRIV	george	137.02	north
1776	HISTORY	gibbon	172.42	north
1873	LETTERS_NON-PRIV	gladstone	138.88	north
1805	FICTION	godwin	146.74	north
1780	HANDBOOK_OTHER	grafting	145.89	north
1808	DIARY_PRIV	haydon	127.51	north
1797	SCIENCE_OTHER	herschel	125.93	north
1707	HISTORY	hind	158	north
1749	LETTERS_NON-PRIV	holmes	144.76	north
1749	PROCEEDINGS_TRIAL	holmes	129.18	north
1775	LETTERS_PRIV	johnson	103.31	north
1742	HISTORY	kimber	159.36	north
1806	EDUC_TREATISE	lancaster	150.75	north
1866	HISTORY	long	141.11	north
1830	SCIENCE_OTHER	lyell	176.07	north
1747	HANDBOOK_OTHER	maxwell	128.52	north
1895	FICTION	meredith	141.39	north
1718	LETTERS_PRIV	montagu	139.77	north
1836	TRAVELOGUE	montefiore	142.62	north
1796	BIBLE	newcome	109.4	north
1889	LETTERS_PRIV	nightingale	121.14	north
1890	LETTERS_PRIV	nightingale	119.34	north
1744	TRAVELOGUE	officer	135.96	north
1895	HISTORY	oman	143.15	north
1769	SCIENCE_OTHER	priestley	152.17	north
1764	BIBLE	purver	108.66	north
1764	BIBLE	purver	143.58	north
1866	SERMON	pusey	158.94	north
1863	TRAVELOGUE	reade	130.87	north
1777	FICTION	reeve	123.09	north
1835	DIARY_PRIV	ruskin	159.18	north
1716	DIARY_PRIV	ryder	139.27	north
1813	BIOGRAPHY_OTHER	southey	137.96	north
1716	LAW	statutes	158.13	north
1745	LAW	statutes	165.67	north
1775	LAW	statutes	168.19	north
1805	LAW	statutes	170.23	north
1835	LAW	statutes	170.54	north
1865	LAW	statutes	185.17	north
1895	LAW	statutes	181.49	north
1890	SCIENCE_OTHER	strutt	160.07	north
1901	SERMON	talbot	137.01	north
1872	DIARY_PRIV	thring	116.23	north
1814	HANDBOOK_OTHER	tindall	141.86	north
1746	PROCEEDINGS_TRIAL	townley	129.06	north
1882	BIOGRAPHY_OTHER	trollope	140.25	north
1799	HISTORY	turner	146.06	north
1800	TRAVELOGUE	turner	165.54	north
1865	LETTERS_PRIV	victoria	100.66	north
1747	LETTERS_PRIV	walpole	119.95	north
1817	PROCEEDINGS_TRIAL	watson	110.15	north
1913	HANDBOOK_OTHER	weathers	153.37	north
1718	EDUC_TREATISE	webster	138.32	north
1815	LETTERS_NON-PRIV	wellesley	149.68	north
1745	DIARY_PRIV	wesley	143.32	north
1837	EDUC_TREATISE	whewell	157.58	north
1793	SERMON	wollaston	161.31	north
1865	FICTION	yonge	123.06	north
1530	LETTERS_PRIV	abott	116.67	north
1700	LETTERS_PRIV	alhatton	96.23	north
1687	LETTERS_PRIV	alhatton	107.9	north
1525	LETTERS_NON-PRIV	ambass	149.43	north
1695	LETTERS_PRIV	anhatton	97.38	north
1695	LETTERS_PRIV	anhatton	130.37	north
1695	LETTERS_PRIV	anhatton	104.84	north
1504	LETTERS_PRIV	aplumpt	111.78	north
1504	LETTERS_PRIV	aplumpt	132.49	north
1552	LETTERS_PRIV	apoole	148.51	north
1608	FICTION	armin	88.33	north
1608	FICTION	armin	112.05	north
1608	FICTION	armin	108.38	north
1568	EDUC_TREATISE	asch	138.82	north
1568	EDUC_TREATISE	asch	129.98	north
1568	EDUC_TREATISE	asch	133.84	north
1675	LETTERS_NON-PRIV	aungier	144.19	north
1675	LETTERS_NON-PRIV	aungier	152.32	north
1675	LETTERS_NON-PRIV	aungier	144.82	north
1611	BIBLE	authnew	102.96	north
1611	BIBLE	authnew	112.42	north
1611	BIBLE	authnew	129.91	north
1611	BIBLE	authold	131.44	north
1611	BIBLE	authold	125.34	north
1611	BIBLE	authold	127.91	north
1605	EDUC_TREATISE	bacon	147.5	north
1605	EDUC_TREATISE	bacon	152.59	north
1605	EDUC_TREATISE	bacon	142.91	north
1537	LETTERS_NON-PRIV	bedyll	115.74	north
1668	FICTION	behn	122.16	north
1668	FICTION	behn	130.67	north
1668	FICTION	behn	131.69	north
1597	SCIENCE_OTHER	blundev	139.84	north
1597	SCIENCE_OTHER	blundev	143.32	north
1597	SCIENCE_OTHER	blundev	145.22	north
1556	PHILOSOPHY	boethco	105.61	north
1556	PHILOSOPHY	boethco	122.07	north
1556	PHILOSOPHY	boethco	99.92	north
1593	PHILOSOPHY	boethel	115.26	north
1593	PHILOSOPHY	boethel	121.21	north
1593	PHILOSOPHY	boethel	98.12	north
1695	PHILOSOPHY	boethpr	121.99	north
1695	PHILOSOPHY	boethpr	132.93	north
1695	PHILOSOPHY	boethpr	110.52	north
1664	SCIENCE_OTHER	boylecol	154.79	north
1664	SCIENCE_OTHER	boylecol	150.01	north
1676	SCIENCE_OTHER	boyle	139.43	north
1676	SCIENCE_OTHER	boyle	147.33	north
1627	EDUC_TREATISE	brinsley	121.58	north
1627	EDUC_TREATISE	brinsley	134.34	north
1627	EDUC_TREATISE	brinsley	122.84	north
1713	HISTORY	burnetcha	135.61	north
1713	HISTORY	burnetcha	141.34	north
1713	HISTORY	burnetcha	139.68	north
1680	BIOGRAPHY_OTHER	burnetroc	142.76	north
1680	BIOGRAPHY_OTHER	burnetroc	141.31	north
1680	BIOGRAPHY_OTHER	burnetroc	142.56	north
1677	LETTERS_NON-PRIV	capel	130.71	north
1677	LETTERS_NON-PRIV	capel	116.2	north
1677	LETTERS_NON-PRIV	capel	110.31	north
1506	TRAVELOGUE	chaplain	154.24	north
1657	LETTERS_NON-PRIV	charles	137.97	north
1679	LETTERS_NON-PRIV	charles	160	north
1679	LETTERS_NON-PRIV	charles	176.47	north
1692	LETTERS_PRIV	chatton	105.62	north
1692	LETTERS_PRIV	chatton	114.36	north
1692	LETTERS_PRIV	chatton	99.83	north
1673	LETTERS_NON-PRIV	commiss	195.86	north
1623	LETTERS_NON-PRIV	conway	138.66	north
1675	LETTERS_NON-PRIV	conway	122.3	north
1688	LETTERS_NON-PRIV	counc	164.95	north
1612	TRAVELOGUE	coverte	126.73	north
1612	TRAVELOGUE	coverte	135.74	north
1612	TRAVELOGUE	coverte	113.6	north
1537	LETTERS_NON-PRIV	cromwell	147.13	north
1530	LETTERS_NON-PRIV	cromwell	152.94	north
1530	LETTERS_NON-PRIV	cromwell	127.59	north
1513	LETTERS_NON-PRIV	dacre	149.6	north
1538	LETTERS_PRIV	delapole	115.38	north
1688	LETTERS_NON-PRIV	dell	161.79	north
1597	FICTION	deloney	103.78	north
1597	FICTION	deloney	106.98	north
1597	FICTION	deloney	128.62	north
1647	LETTERS_PRIV	dering	125	north
1509	LETTERS_PRIV	dplumpt	122.14	north
1690	LETTERS_NON-PRIV	drummond	116.56	north
1547	LETTERS_PRIV	ecumberl	117.65	north
1599	LETTERS_NON-PRIV	edmondes	118.99	north
1599	LETTERS_NON-PRIV	edmondes	134.73	north
1599	LETTERS_NON-PRIV	edmondes	125	north
1552	DIARY_PRIV	edward	148.03	north
1552	DIARY_PRIV	edward	142.08	north
1552	DIARY_PRIV	edward	147.8	north
1666	LETTERS_PRIV	ehatton	132.96	north
1690	LETTERS_PRIV	ehatton	93.97	north
1566	LETTERS_NON-PRIV	eliz	144.69	north
1575	LETTERS_NON-PRIV	eliz	143.26	north
1588	LETTERS_NON-PRIV	eliz	136.12	north
1600	LETTERS_NON-PRIV	eliz	144.5	north
1600	LETTERS_NON-PRIV	eliz	120	north
1531	EDUC_TREATISE	elyot	139.06	north
1531	EDUC_TREATISE	elyot	136.59	north
1531	EDUC_TREATISE	elyot	134.98	north
1658	LETTERS_PRIV	eoxinden	113.37	north
1667	LETTERS_PRIV	eoxinden	114.62	north
1667	LETTERS_PRIV	eoxinden	113.46	north
1680	LETTERS_PRIV	eoxinden	119.64	north
1504	LETTERS_PRIV	epoole	133.55	north
1600	PROCEEDINGS_TRIAL	essex	133.67	north
1600	PROCEEDINGS_TRIAL	essex	135.87	north
1600	PROCEEDINGS_TRIAL	essexstate	126.95	north
1600	PROCEEDINGS_TRIAL	essexstate	125.02	north
1689	DIARY_PRIV	evelyn	151.72	north
1689	DIARY_PRIV	evelyn	146.6	north
1689	DIARY_PRIV	evelyn	147.91	north
1629	LETTERS_PRIV	everard	88.93	north
1516	HISTORY	fabyan	159.18	north
1516	HISTORY	fabyan	175.74	north
1516	HISTORY	fabyan	174.17	north
1677	LETTERS_PRIV	fhatton	63.97	north
1698	TRAVELOGUE	fiennes	128.92	north
1698	TRAVELOGUE	fiennes	132.09	north
1698	TRAVELOGUE	fiennes	135.12	north
1521	SERMON	fisher	125.49	north
1521	SERMON	fisher	115.7	north
1521	SERMON	fisher	130.87	north
1534	HANDBOOK_OTHER	fitzh	99.16	north
1534	HANDBOOK_OTHER	fitzh	106.26	north
1534	HANDBOOK_OTHER	fitzh	104.45	north
1602	DIARY_PRIV	forman	151.36	north
1602	DIARY_PRIV	forman	142.73	north
1602	DIARY_PRIV	forman	129.7	north
1538	LETTERS_NON-PRIV	friar	150.88	north
1681	TRAVELOGUE	fryer	150.18	north
1681	TRAVELOGUE	fryer	151.44	north
1681	TRAVELOGUE	fryer	146.57	north
1503	LETTERS_PRIV	gascoigne	129.77	north
1515	LETTERS_PRIV	gascoigne	153.85	north
1589	LETTERS_PRIV	gawdy	134.74	north
1589	LETTERS_PRIV	gawdy	122.45	north
1589	LETTERS_PRIV	gawdy	118.64	north
1538	LETTERS_PRIV	gcromw	154.31	north
1538	LETTERS_PRIV	gcromw	134.36	north
1538	LETTERS_PRIV	gcromw	103.73	north
1593	HANDBOOK_OTHER	gifford	95.76	north
1593	HANDBOOK_OTHER	gifford	110.4	north
1593	HANDBOOK_OTHER	gifford	108.64	north
1505	LETTERS_PRIV	gpoole	121.17	north
1515	LETTERS_PRIV	gpoole	137.93	north
1523	LETTERS_PRIV	grey	147.73	north
1633	LETTERS_PRIV	harley	99.18	south
1633	LETTERS_PRIV	harley	103.07	south
1638	LETTERS_PRIV	harleyedw	107.95	south
1638	LETTERS_PRIV	harleyedw	113.09	south
1568	FICTION	harman	114.77	south
1568	FICTION	harman	115.28	south
1568	FICTION	harman	114.85	south
1580	LETTERS_NON-PRIV	hatcher	126.28	south
1612	HISTORY	hayward	159.63	south
1612	HISTORY	hayward	150.23	south
1612	HISTORY	hayward	159.39	south
1515	LETTERS_NON-PRIV	henry	127.45	south
1528	LETTERS_NON-PRIV	henry	169.38	south
1528	LETTERS_NON-PRIV	henry	165.46	south
1532	LETTERS_NON-PRIV	henry	174.6	south
1601	DIARY_PRIV	hoby	143.64	south
1601	DIARY_PRIV	hoby	136.52	south
1601	DIARY_PRIV	hoby	147.88	south
1665	SCIENCE_OTHER	hooke	140.81	south
1665	SCIENCE_OTHER	hooke	138.97	south
1665	SCIENCE_OTHER	hooke	145.17	south
1614	SERMON	hooker	145.38	south
1614	SERMON	hooker	134.27	south
1614	SERMON	hooker	145.37	south
1614	SERMON	hooker	137.55	south
1614	SERMON	hooker	128.52	south
1614	SERMON	hooker	140.35	south
1660	EDUC_TREATISE	hoole	140.25	south
1660	EDUC_TREATISE	hoole	138.41	south
1660	EDUC_TREATISE	hoole	131.84	south
