Date	Genre	Text	Prepositions	Region
1736	Science	albin	166.01	North
1711	Education	anon	139.86	North
1808	PrivateLetter	austen	130.78	North
1878	Education	bain	151.29	North
1743	Education	barclay	145.72	North
1908	Education	benson	120.77	North
1906	Diary	benson	119.17	North
1897	Philosophy	boethja	132.96	North
1785	Philosophy	boethri	130.49	North
1776	Diary	boswell	135.94	North
1905	Travel	bradley	154.2	North
1711	Education	brightland	149.14	North
1762	Sermon	burton	159.71	North
1726	Sermon	butler	157.49	North
1835	PrivateLetter	carlyle	124.16	North
1837	History	carlyle	134.48	North
1774	Education	chapman	153.54	North
1776	Travel	cook	140.22	North
1712	Travel	cooke	150	North
1719	Fiction	defoe	131.48	North
1837	Fiction	dickens	126.63	North
1747	Biography	doddridge	152.89	North
1718	Handbook	drummond	150.66	North
1881	Bible	erv	107.17	North
1885	Bible	erv	134.67	North
1859	Science	faraday	134.34	North
1749	Fiction	fielding	128.82	North
1886	Handbook	fleming	155.57	North
1830	Sermon	froude	150.1	North
1763	PublicLetter	george	137.02	North
1776	History	gibbon	172.42	North
1873	PublicLetter	gladstone	138.88	North
1805	Fiction	godwin	146.74	North
1780	Handbook	grafting	145.89	North
1808	Diary	haydon	127.51	North
1797	Science	herschel	125.93	North
1707	History	hind	158	North
1749	PublicLetter	holmes	144.76	North
1749	TrialProceeding	holmes	129.18	North
1775	PrivateLetter	johnson	103.31	North
1742	History	kimber	159.36	North
1806	Education	lancaster	150.75	North
1866	History	long	141.11	North
1830	Science	lyell	176.07	North
1747	Handbook	maxwell	128.52	North
1895	Fiction	meredith	141.39	North
1718	PrivateLetter	montagu	139.77	North
1836	Travel	montefiore	142.62	North
1796	Bible	newcome	109.4	North
1889	PrivateLetter	nightingale	121.14	North
1890	PrivateLetter	nightingale	119.34	North
1744	Travel	officer	135.96	North
1895	History	oman	143.15	North
1769	Science	priestley	152.17	North
1764	Bible	purver	108.66	North
1764	Bible	purver	143.58	North
1866	Sermon	pusey	158.94	North
1863	Travel	reade	130.87	North
1777	Fiction	reeve	123.09	North
1835	Diary	ruskin	159.18	North
1716	Diary	ryder	139.27	North
1813	Biography	southey	137.96	North
1716	Law	statutes	158.13	North
1745	Law	statutes	165.67	North
1775	Law	statutes	168.19	North
1805	Law	statutes	170.23	North
1835	Law	statutes	170.54	North
1865	Law	statutes	185.17	North
1895	Law	statutes	181.49	North
1890	Science	strutt	160.07	North
1901	Sermon	talbot	137.01	North
1872	Diary	thring	116.23	North
1814	Handbook	tindall	141.86	North
1746	TrialProceeding	townley	129.06	North
1882	Biography	trollope	140.25	North
1799	History	turner	146.06	North
1800	Travel	turner	165.54	North
1865	PrivateLetter	victoria	100.66	North
1747	PrivateLetter	walpole	119.95	North
1817	TrialProceeding	watson	110.15	North
1913	Handbook	weathers	153.37	North
1718	Education	webster	138.32	North
1815	PublicLetter	wellesley	149.68	North
1745	Diary	wesley	143.32	North
1837	Education	whewell	157.58	North
1793	Sermon	wollaston	161.31	North
1865	Fiction	yonge	123.06	North
1530	PrivateLetter	abott	116.67	North
1700	PrivateLetter	alhatton	96.23	North
1687	PrivateLetter	alhatton	107.9	North
1525	PublicLetter	ambass	149.43	North
1695	PrivateLetter	anhatton	97.38	North
1695	PrivateLetter	anhatton	130.37	North
1695	PrivateLetter	anhatton	104.84	North
1504	PrivateLetter	aplumpt	111.78	North
1504	PrivateLetter	aplumpt	132.49	North
1552	PrivateLetter	apoole	148.51	North
1608	Fiction	armin	88.33	North
1608	Fiction	armin	112.05	North
1608	Fiction	armin	108.38	North
1568	Education	asch	138.82	North
1568	Education	asch	129.98	North
1568	Education	asch	133.84	North
1675	PublicLetter	aungier	144.19	North
1675	PublicLetter	aungier	152.32	North
1675	PublicLetter	aungier	144.82	North
1611	Bible	authnew	102.96	North
1611	Bible	authnew	112.42	North
1611	Bible	authnew	129.91	North
1611	Bible	authold	131.44	North
1611	Bible	authold	125.34	North
1611	Bible	authold	127.91	North
1605	Education	bacon	147.5	North
1605	Education	bacon	152.59	North
1605	Education	bacon	142.91	North
1537	PublicLetter	bedyll	115.74	North
1668	Fiction	behn	122.16	North
1668	Fiction	behn	130.67	North
1668	Fiction	behn	131.69	North
1597	Science	blundev	139.84	North
1597	Science	blundev	143.32	North
1597	Science	blundev	145.22	North
1556	Philosophy	boethco	105.61	North
1556	Philosophy	boethco	122.07	North
1556	Philosophy	boethco	99.92	North
