ID	Gender	Age	ConversationType	Priming	SUFlike
S1A-061$C	Women	Young	MixedGender	NoPrime	0
S1A-023$B	Women	Young	MixedGender	NoPrime	0
S1A-054$A	Women	Young	SameGender	NoPrime	0
S1A-090$B	Women	Young	MixedGender	NoPrime	0
S1A-009$B	Women	Old	SameGender	Prime	0
S1A-085$E	Men	Young	MixedGender	Prime	1
S1A-003$C	Women	Young	MixedGender	NoPrime	1
S1A-084$C	Women	Young	SameGender	NoPrime	0
S1A-076$A	Women	Young	SameGender	NoPrime	0
S1A-083$D	Men	Old	MixedGender	NoPrime	1
S1A-068$A	Women	Young	SameGender	NoPrime	0
S1A-066$B	Women	Young	SameGender	NoPrime	0
S1A-061$A	Men	Old	MixedGender	NoPrime	1
S1A-049$A	Women	Young	SameGender	NoPrime	0
S1A-022$B	Women	Young	MixedGender	NoPrime	0
S1A-074$A	Women	Old	MixedGender	NoPrime	1
S1A-074$C	Women	Young	MixedGender	NoPrime	0
S1A-083$B	Women	Old	MixedGender	NoPrime	0
S1A-067$A	Women	Young	MixedGender	NoPrime	0
S1A-068$C	Women	Young	SameGender	Prime	0
S1A-035$B	Women	Young	MixedGender	NoPrime	0
S1A-036$B	Women	Young	SameGender	NoPrime	0
S1A-072$B	Men	Young	MixedGender	NoPrime	0
S1A-087$B	Men	Young	MixedGender	Prime	0
S1A-068$B	Women	Young	SameGender	NoPrime	0
S1A-059$A	Women	Young	SameGender	NoPrime	0
S1A-069$C	Women	Young	MixedGender	NoPrime	1
S1A-008$C	Women	Old	SameGender	NoPrime	0
S1A-061$B	Women	Young	MixedGender	NoPrime	0
S1A-098$A	Women	Young	SameGender	NoPrime	0
S1A-001$B	Women	Old	MixedGender	NoPrime	0
S1A-022$A	Women	Young	MixedGender	NoPrime	0
S1A-051$B	Women	Young	SameGender	NoPrime	0
S1A-078$B	Women	Young	MixedGender	NoPrime	0
S1A-037$C	Women	Old	SameGender	NoPrime	0
S1A-021$F	Women	Young	MixedGender	NoPrime	1
S1A-050$B	Women	Young	SameGender	NoPrime	0
S1A-046$A	Women	Young	SameGender	NoPrime	0
S1A-063$C	Women	Young	SameGender	NoPrime	0
S1A-051$D	Women	Young	SameGender	NoPrime	1
S1A-022$D	Men	Old	MixedGender	NoPrime	0
