Id	Participant	Group	Item	Response	Gender	Age
11	G011	German_Mono	1	BareNoun	Female	20
12	G012	German_Mono	3	BareNoun	Female	20
13	G013	German_Mono	4	BareNoun	Female	20
14	G014	German_Mono	6	BareNoun	Female	20
15	G015	German_Mono	8	BareNoun	Female	20
16	G016	German_Mono	9	BareNoun	Female	20
17	G017	German_Mono	11	BareNoun	Female	20
18	G018	German_Mono	12	BareNoun	Female	20
19	G019	German_Mono	13	BareNoun	Female	20
20	G020	German_Mono	15	BareNoun	Female	20
21	G021	German_Mono	1	BareNoun	Female	19
22	G022	German_Mono	3	BareNoun	Female	19
23	G023	German_Mono	4	BareNoun	Female	19
28	G028	German_Mono	12	BareNoun	Female	19
31	G031	German_Mono	1	BareNoun	Female	19
32	G032	German_Mono	3	BareNoun	Female	19
33	G033	German_Mono	4	BareNoun	Female	19
34	G034	German_Mono	6	BareNoun	Female	19
35	G035	German_Mono	8	BareNoun	Female	19
36	G036	German_Mono	9	BareNoun	Female	19
37	G037	German_Mono	11	BareNoun	Female	19
38	G038	German_Mono	12	BareNoun	Female	19
39	G039	German_Mono	13	BareNoun	Female	19
40	G040	German_Mono	15	BareNoun	Female	19
41	G041	German_Mono	1	BareNoun	Female	19
46	G046	German_Mono	9	BareNoun	Female	19
51	G051	German_Mono	1	BareNoun	Female	19
52	G052	German_Mono	3	BareNoun	Female	19
53	G053	German_Mono	4	BareNoun	Female	19
54	G054	German_Mono	6	BareNoun	Female	19
55	G055	German_Mono	8	BareNoun	Female	19
56	G056	German_Mono	9	BareNoun	Female	19
57	G057	German_Mono	11	BareNoun	Female	19
58	G058	German_Mono	12	BareNoun	Female	19
59	G059	German_Mono	13	BareNoun	Female	19
60	G060	German_Mono	15	BareNoun	Female	19
61	G061	German_Mono	1	BareNoun	Female	19
62	G062	German_Mono	3	BareNoun	Female	19
63	G063	German_Mono	4	BareNoun	Female	19
65	G065	German_Mono	8	BareNoun	Female	19
66	G066	German_Mono	9	BareNoun	Female	19
67	G067	German_Mono	11	BareNoun	Female	19
68	G068	German_Mono	12	BareNoun	Female	19
69	G069	German_Mono	13	BareNoun	Female	19
