id,created_at,author_id,text,referenced_tweets.retweeted.id,public_metrics.like_count
1456476622723366916,2021-11-05T04:21:01.000Z,1154852095109095429,@LakersNation Why does number 34 for the thunder have a platypus tail on the back of his head???,,0
1456476344448163842,2021-11-05T04:19:55.000Z,1177970818485248000,@platypus_shark https://t.co/noukRK3z3e,,0
1456476143134158855,2021-11-05T04:19:07.000Z,2834003808,"You should also add ""Yells into the wind with the same lines\nTeam Rocket: Looks like Team Rocket's we're blasting off again!\nDoofensmirtz: Curse you Perry the Platypus! https://t.co/HbiiNX6iUZ",1456384299519946757,82
1456475621769433095,2021-11-05T04:17:02.000Z,962978217886826496,"""Puggles"" ang tawag sa platypus babies, ang kyut 😭",,2
1456474356771536899,2021-11-05T04:12:01.000Z,293301867,@Steve__Marcus @BonniesMBB I all of a sudden got tendinitis in my platypus maximus,,0
1456474343945342977,2021-11-05T04:11:58.000Z,126957686,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456472018317053952,2021-11-05T04:02:43.000Z,19540398,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456469806652133384,2021-11-05T03:53:56.000Z,1406015058157572097,@TheIdealistic1 The platypus. https://t.co/lpXpPbCjln,,0
1456469541001781249,2021-11-05T03:52:53.000Z,1092168578906943489,@makeupacat platypus,,0
1456469476182925315,2021-11-05T03:52:37.000Z,999458923,@humannn_99 @ThatEricAlper Nama dia platypus 😭😭😭,,0
1456469316388413453,2021-11-05T03:51:59.000Z,1402032373416579072,"Behold Perry the Platypus, my greatest invention ever! THE CORRUPTIONINATOR. With one shot it will infect the ENTIRE world, and then no one will be able to stop me from taking over the TRI STATE AREA!! #LearningWithPibby #Pibby #Doofenshmirtz #TRISTATEAREA https://t.co/fsJ1SmOABu",1455154812182482947,146
1456469297400741891,2021-11-05T03:51:55.000Z,512171880,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456468965027352577,2021-11-05T03:50:35.000Z,85031601,God: you lay eggs.\n\nPlatypus: like a reptile?\n\nGod: yes but you aren’t a reptile.\n\nPlatypus: oh.\n\nGod: and you’re venomous. \n\nPlatypus: [happy gasp] like a reptile?\n\nGod: you aren’t a reptile.\n\nPlatypus: ok I understand.\n\nGod: you do?\n\nPlatypus: I have a reptile dysfunction : (,1456285849352609797,659
1456468088115892224,2021-11-05T03:47:06.000Z,259802094,@Papi_Platypus @LC_Acocella @WillLew51464805 @SeanRossSapp She’s up there tbf,,0
1456468083732664322,2021-11-05T03:47:05.000Z,3227542268,@luvncoke @BleuGhoul Did you know that the platypus has a claw that comes from their hind leg that hurts alot.,,0
1456467119013384197,2021-11-05T03:43:15.000Z,1021709459406512128,@ron_platypus im honored &lt;3,,0
1456466906299330571,2021-11-05T03:42:24.000Z,1327549719539634176,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456466521203658753,2021-11-05T03:40:53.000Z,1135681740205436928,@makeupacat A platypus with a clown nose? :O,,0
1456466315888242712,2021-11-05T03:40:04.000Z,1361724816064151559,@cupTWOst PLATYPUS???,,0
1456466235332251652,2021-11-05T03:39:44.000Z,417017581,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456466096010244108,2021-11-05T03:39:11.000Z,44340706,A ground-breaking trial that saw hundreds of WA businesses modify their #energy use and solar output to help stabilise the grid is being extended https://t.co/gKOSLx13Lc,1456465290431246342,6
