Id	Pauses	Language	Alcohol
45	0	German	41
108	0	Russian	41
15	0	German	44
67	0	German	42
153	0	German	40
51	0	Russian	42
164	0	German	46
133	0	German	40
2	0	German	33
53	0	German	46
1	0	German	40
128	0	English	38
16	0	German	44
106	0	German	37
89	0	German	40
134	0	Russian	39
19	0	Russian	43
145	0	German	38
11	0	English	45
117	0	German	39
109	0	Russian	42
12	0	German	45
37	0	German	40
69	0	German	40
43	0	English	43
196	0	English	49
36	1	Russian	44
155	1	Russian	46
6	0	English	46
4	1	English	41
25	0	Russian	42
107	0	German	47
5	1	English	43
47	0	English	49
140	1	German	40
22	1	German	39
18	0	German	49
30	0	English	42
40	0	Russian	43
176	0	English	41
126	0	Russian	57
197	0	English	50
46	0	English	44
49	0	German	39
8	0	English	52
124	1	German	41
13	0	German	39
111	0	Russian	39
142	0	German	52
193	1	English	48
105	0	English	45
58	0	German	40
129	0	Russian	46
38	3	English	50
182	0	English	43
115	0	Russian	43
14	1	English	54
175	1	Russian	42
44	0	German	45
86	0	Russian	54
72	0	German	47
41	1	English	45
191	0	English	43
138	1	German	40
9	0	German	52
151	1	German	52
119	0	Russian	45
55	0	English	49
73	1	English	53
28	0	Russian	54
90	2	English	50
17	0	English	48
102	0	English	51
70	0	Russian	41
148	1	German	51
54	0	Russian	46
42	0	German	55
87	0	Russian	46
21	0	Russian	61
181	0	English	45
165	0	German	54
78	0	English	54
76	1	English	51
29	0	Russian	49
91	0	German	56
52	0	English	53
10	1	Russian	49
85	0	Russian	57
50	0	Russian	42
56	0	German	46
64	0	German	45
130	0	Russian	55
141	0	German	47
74	0	English	50
83	0	German	41
31	0	Russian	52
172	1	English	57
184	0	German	53
75	1	German	51
187	0	Russian	57
113	0	English	51
162	0	German	40
110	0	German	50
150	0	German	57
167	0	Russian	35
77	0	English	49
35	0	Russian	50
158	1	Russian	55
112	0	English	48
48	0	English	52
147	1	English	53
7	1	English	59
65	2	English	66
168	0	English	57
190	1	English	54
178	0	German	57
159	1	English	54
120	0	English	54
116	0	English	54
79	2	English	49
98	1	German	51
122	3	English	58
179	1	English	60
198	0	English	51
189	0	English	63
199	1	English	50
156	1	English	53
166	0	English	53
160	0	English	55
152	1	English	56
183	0	English	49
94	1	English	61
149	0	Russian	49
131	0	English	57
24	0	English	66
99	0	Russian	56
171	3	English	60
104	1	English	57
81	0	English	59
97	0	English	58
20	0	English	57
163	3	English	64
195	0	Russian	60
84	0	Russian	54
27	1	English	61
118	1	Russian	58
71	0	Russian	56
63	0	Russian	60
185	0	English	55
127	3	English	57
177	0	English	62
188	0	English	56
60	0	English	51
66	2	German	56
173	0	Russian	61
186	1	English	63
96	5	English	61
101	0	English	67
3	0	English	48
170	1	English	61
92	0	Russian	57
62	0	Russian	48
135	2	English	65
26	4	English	62
139	1	English	61
121	0	German	53
144	1	Russian	58
146	1	English	64
137	3	English	65
123	1	Russian	56
169	1	Russian	63
34	3	English	57
33	2	English	72
32	0	German	66
114	0	English	62
125	1	English	58
59	1	English	63
23	3	English	64
161	2	English	72
103	0	English	64
194	6	English	69
136	4	English	70
154	1	English	66
157	0	Russian	58
93	2	English	62
39	2	English	67
88	1	English	64
192	2	English	63
80	1	English	68
200	1	English	75
180	0	English	69
82	1	English	65
174	2	English	71
95	5	English	71
61	1	English	60
100	2	English	71
143	2	German	75
68	1	English	71
57	0	English	72
132	3	English	73
