ID	Trial	Language	Gender	UHM	Noise	Interloctutor	Shots
1	3	Russian	Man	0	with	OtherGender	0
2	3	Russian	Man	0	without	SameGender	0
3	3	German	Man	0	with	OtherGender	5
4	1	German	Man	0	with	OtherGender	3
5	1	German	Woman	2	with	SameGender	6
6	3	German	Man	1	without	OtherGender	5
7	1	Mandarin	Man	1	without	SameGender	1
8	3	German	Woman	0	with	OtherGender	4
9	3	Russian	Woman	0	with	OtherGender	0
10	2	German	Man	0	without	OtherGender	2
11	3	Russian	Man	0	without	SameGender	1
12	2	German	Man	0	with	OtherGender	1
13	3	Russian	Woman	0	with	OtherGender	1
14	2	Russian	Woman	4	without	SameGender	4
15	2	English	Man	0	with	SameGender	4
16	1	Mandarin	Man	0	without	OtherGender	1
17	2	German	Man	1	without	OtherGender	7
18	3	Mandarin	Man	0	without	SameGender	1
19	1	Mandarin	Woman	0	without	OtherGender	1
20	3	German	Man	0	without	OtherGender	3
21	2	English	Man	0	with	SameGender	4
22	3	Mandarin	Woman	0	with	OtherGender	1
23	2	English	Man	0	without	OtherGender	2
24	3	German	Man	2	without	SameGender	5
25	2	German	Man	0	without	OtherGender	3
26	2	Mandarin	Woman	0	with	SameGender	1
27	2	English	Man	0	without	OtherGender	2
28	2	Russian	Man	0	without	SameGender	0
29	3	Russian	Woman	2	without	SameGender	4
30	2	German	Woman	0	without	SameGender	2
31	2	Russian	Woman	4	with	SameGender	6
32	2	German	Woman	0	without	SameGender	0
33	2	Mandarin	Woman	0	with	SameGender	2
34	2	German	Man	0	without	OtherGender	1
35	2	English	Man	0	with	OtherGender	2
36	2	German	Man	0	without	OtherGender	2
37	1	German	Man	1	with	OtherGender	3
38	3	Russian	Woman	0	without	OtherGender	0
39	2	Mandarin	Man	0	without	OtherGender	3
40	1	Mandarin	Woman	1	without	SameGender	1
41	2	German	Woman	0	with	SameGender	2
42	3	German	Woman	0	with	SameGender	1
43	3	German	Woman	0	without	SameGender	4
44	1	German	Man	1	without	SameGender	4
45	2	Mandarin	Man	0	without	OtherGender	1
46	1	Mandarin	Man	0	with	SameGender	4
47	3	German	Man	0	with	OtherGender	5
48	2	German	Woman	0	without	SameGender	0
49	2	German	Man	0	with	OtherGender	3
50	2	Russian	Woman	0	with	SameGender	7
51	2	German	Woman	0	with	OtherGender	2
52	1	English	Man	2	with	OtherGender	8
53	2	Mandarin	Woman	0	without	OtherGender	2
54	1	Mandarin	Man	0	without	OtherGender	3
55	3	English	Man	0	with	OtherGender	2
56	2	German	Man	0	with	OtherGender	3
57	2	German	Woman	0	with	SameGender	4
58	1	Mandarin	Man	0	with	OtherGender	1
59	2	Mandarin	Man	0	with	SameGender	1
60	1	English	Woman	0	without	OtherGender	3
61	2	German	Woman	2	without	SameGender	4
62	2	Mandarin	Woman	0	without	SameGender	1
63	3	English	Woman	1	without	OtherGender	5
64	3	German	Man	0	without	OtherGender	2
65	1	Mandarin	Man	1	with	SameGender	3
66	3	German	Woman	0	with	OtherGender	1
67	1	English	Woman	0	without	OtherGender	7
68	1	Mandarin	Man	0	with	OtherGender	1
