"sid"	"state"	"crime"	"murder"	"pctmetro"	"pctwhite"	"pcths"	"poverty"	"single"
1	"ak"	761	9	41.7999992370605	75.1999969482422	86.5999984741211	9.10000038146973	14.3000001907349
2	"al"	780	11.6000003814697	67.4000015258789	73.5	66.9000015258789	17.3999996185303	11.5
3	"ar"	593	10.1999998092651	44.7000007629395	82.9000015258789	66.3000030517578	20	10.6999998092651
4	"az"	715	8.60000038146973	84.6999969482422	88.5999984741211	78.6999969482422	15.3999996185303	12.1000003814697
5	"ca"	1078	13.1000003814697	96.6999969482422	79.3000030517578	76.1999969482422	18.2000007629395	12.5
6	"co"	567	5.80000019073486	81.8000030517578	92.5	84.4000015258789	9.89999961853027	12.1000003814697
7	"ct"	456	6.30000019073486	95.6999969482422	89	79.1999969482422	8.5	10.1000003814697
8	"de"	686	5	82.6999969482422	79.4000015258789	77.5	10.1999998092651	11.3999996185303
9	"fl"	1206	8.89999961853027	93	83.5	74.4000015258789	17.7999992370605	10.6000003814697
10	"ga"	723	11.3999996185303	67.6999969482422	70.8000030517578	70.9000015258789	13.5	13
11	"hi"	261	3.79999995231628	74.6999969482422	40.9000015258789	80.0999984741211	8	9.10000038146973
12	"ia"	326	2.29999995231628	43.7999992370605	96.5999984741211	80.0999984741211	10.3000001907349	9
13	"id"	282	2.90000009536743	30	96.6999969482422	79.6999969482422	13.1000003814697	9.5
14	"il"	960	11.3999996185303	84	81	76.1999969482422	13.6000003814697	11.5
15	"in"	489	7.5	71.5999984741211	90.5999984741211	75.5999984741211	12.1999998092651	10.8000001907349
16	"ks"	496	6.40000009536743	54.5999984741211	90.9000015258789	81.3000030517578	13.1000003814697	9.89999961853027
17	"ky"	463	6.59999990463257	48.5	91.8000030517578	64.5999984741211	20.3999996185303	10.6000003814697
18	"la"	1062	20.2999992370605	75	66.6999969482422	68.3000030517578	26.3999996185303	14.8999996185303
19	"ma"	805	3.90000009536743	96.1999969482422	91.0999984741211	80	10.6999998092651	10.8999996185303
20	"md"	998	12.6999998092651	92.8000030517578	68.9000015258789	78.4000015258789	9.69999980926514	12
21	"me"	126	1.60000002384186	35.7000007629395	98.5	78.8000030517578	10.6999998092651	10.6000003814697
22	"mi"	792	9.80000019073486	82.6999969482422	83.0999984741211	76.8000030517578	15.3999996185303	13
23	"mn"	327	3.40000009536743	69.3000030517578	94	82.4000015258789	11.6000003814697	9.89999961853027
24	"mo"	744	11.3000001907349	68.3000030517578	87.5999984741211	73.9000015258789	16.1000003814697	10.8999996185303
25	"ms"	434	13.5	30.7000007629395	63.2999992370605	64.3000030517578	24.7000007629395	14.6999998092651
26	"mt"	178	3	24	92.5999984741211	81	14.8999996185303	10.8000001907349
27	"nc"	679	11.3000001907349	66.3000030517578	75.1999969482422	70	14.3999996185303	11.1000003814697
28	"nd"	82	1.70000004768372	41.5999984741211	94.1999969482422	76.6999969482422	11.1999998092651	8.39999961853027
29	"ne"	339	3.90000009536743	50.5999984741211	94.3000030517578	81.8000030517578	10.3000001907349	9.39999961853027
30	"nh"	138	2	59.4000015258789	98	82.1999969482422	9.89999961853027	9.19999980926514
31	"nj"	627	5.30000019073486	100	80.8000030517578	76.6999969482422	10.8999996185303	9.60000038146973
32	"nm"	930	8	56	87.0999984741211	75.0999984741211	17.3999996185303	13.8000001907349
33	"nv"	875	10.3999996185303	84.8000030517578	86.6999969482422	78.8000030517578	9.80000019073486	12.3999996185303
34	"ny"	1074	13.3000001907349	91.6999969482422	77.1999969482422	74.8000030517578	16.3999996185303	12.6999998092651
35	"oh"	504	6	81.3000030517578	87.5	75.6999969482422	13	11.3999996185303
36	"ok"	635	8.39999961853027	60.0999984741211	82.5	74.5999984741211	19.8999996185303	11.1000003814697
37	"or"	503	4.59999990463257	70	93.5999984741211	81.5	11.8000001907349	11.3000001907349
38	"pa"	418	6.80000019073486	84.8000030517578	88.6999969482422	74.6999969482422	13.1999998092651	9.60000038146973
39	"ri"	402	3.90000009536743	93.5999984741211	92.5999984741211	72	11.1999998092651	10.8000001907349
40	"sc"	1023	10.3000001907349	69.8000030517578	68.5999984741211	68.3000030517578	18.7000007629395	12.3000001907349
41	"sd"	208	3.40000009536743	32.5999984741211	90.1999969482422	77.0999984741211	14.1999998092651	9.39999961853027
42	"tn"	766	10.1999998092651	67.6999969482422	82.8000030517578	67.0999984741211	19.6000003814697	11.1999998092651
43	"tx"	762	11.8999996185303	83.9000015258789	85.0999984741211	72.0999984741211	17.3999996185303	11.8000001907349
44	"ut"	301	3.09999990463257	77.5	94.8000030517578	85.0999984741211	10.6999998092651	10
45	"va"	372	8.30000019073486	77.5	77.0999984741211	75.1999969482422	9.69999980926514	10.3000001907349
46	"vt"	114	3.59999990463257	27	98.4000015258789	80.8000030517578	10	11
47	"wa"	515	5.19999980926514	83	89.4000015258789	83.8000030517578	12.1000003814697	11.6999998092651
48	"wi"	264	4.40000009536743	68.0999984741211	92.0999984741211	78.5999984741211	12.6000003814697	10.3999996185303
49	"wv"	208	6.90000009536743	41.7999992370605	96.3000030517578	66	22.2000007629395	9.39999961853027
50	"wy"	286	3.40000009536743	29.7000007629395	95.9000015258789	83	13.3000001907349	10.8000001907349
51	"dc"	2922	78.5	100	31.7999992370605	73.0999984741211	26.3999996185303	22.1000003814697
