"Abraham"	"Benvolio"	"LordCapulet"	"Gregory"	"LadyCapulet"	"LadyMontague"	"LordMontague"	"PrinceEscalus"	"Romeo"	"Sampson"	"Tybalt"	"CountParis"	"CapuletServant"	"Juliet"	"Nurse"	"Mercutio"	"Chorus"	"Friar"	"Peter"	"Apothecary"	"Balthasar"	"Boy"	"PageToParis"
"Abraham"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"Benvolio"	1	7	3	1	2	1	2	2	7	1	3	1	2	1	2	4	1	0	1	0	0	0	0
"LordCapulet"	1	3	9	1	7	1	2	2	5	1	2	4	2	4	5	0	1	2	1	0	1	1	1
"Gregory"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"LadyCapulet"	1	2	7	1	10	1	3	3	4	1	2	3	1	5	5	1	0	2	1	0	1	1	1
"LadyMontague"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"LordMontague"	1	2	2	1	3	1	3	3	3	1	2	1	0	1	0	1	0	1	0	0	1	1	1
"PrinceEscalus"	1	2	2	1	3	1	3	3	3	1	2	1	0	1	0	1	0	1	0	0	1	1	1
"Romeo"	1	7	5	1	4	1	3	3	14	1	3	2	2	5	5	4	1	4	1	1	2	1	1
"Sampson"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"Tybalt"	1	3	2	1	2	1	2	2	3	1	3	0	1	1	1	1	1	0	0	0	0	0	0
"CountParis"	0	1	4	0	3	0	1	1	2	0	0	5	1	2	1	0	0	3	1	0	1	1	1
"CapuletServant"	0	2	2	0	1	0	0	0	2	0	1	1	3	2	2	0	1	0	0	0	0	0	0
"Juliet"	0	1	4	0	5	0	1	1	5	0	1	2	2	11	7	0	1	3	0	0	1	1	1
"Nurse"	0	2	5	0	5	0	0	0	5	0	1	1	2	7	11	1	1	2	2	0	0	0	0
"Mercutio"	0	4	0	0	1	0	1	1	4	0	1	0	0	0	1	4	0	0	1	0	0	0	0
"Chorus"	0	1	1	0	0	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0
"Friar"	0	0	2	0	2	0	1	1	4	0	0	3	0	3	2	0	0	6	1	0	1	1	1
"Peter"	0	1	1	0	1	0	0	0	1	0	0	1	0	0	2	1	0	1	2	0	0	0	0
"Apothecary"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"Balthasar"	0	0	1	0	1	0	1	1	2	0	0	1	0	1	0	0	0	1	0	1	2	1	1
"Boy"	0	0	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1
"PageToParis"	0	0	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1
