subject	item	trial	F1	F2
S4-1	heed	1	261	2282
S4-1	heed	2	288	2304
S4-1	heed	3	307	2373
S4-1	heed	4	328	2416
S4-2	heed	1	290	2215
S4-2	heed	2	257	2263
S4-2	heed	3	290	2255
S4-2	heed	4	251	2223
S4-3	heed	1	235	2552
S4-3	heed	2	270	2479
S4-3	heed	3	238	2434
S4-3	heed	4	295	2459
S4-4	heed	1	295	1962
S4-4	heed	2	291	1996
S4-4	heed	3	309	1983
S4-4	heed	4	269	2045
S4-5	heed	1	244	2632
S4-5	heed	2	268	2640
S4-5	heed	3	284	2627
S4-5	heed	4	253	2612
S4-1	hid	1	454	2375
S4-1	hid	2	452	2032
S4-1	hid	3	424	2003
S4-1	hid	4	441	2098
S4-2	hid	1	368	2105
S4-2	hid	2	345	2089
S4-2	hid	3	338	2161
S4-2	hid	4	390	2079
S4-3	hid	1	378	2438
S4-3	hid	2	411	2369
S4-3	hid	3	421	2360
S4-3	hid	4	366	2442
S4-4	hid	1	346	2000
S4-4	hid	2	342	1974
S4-4	hid	3	374	1930
S4-4	hid	4	335	1996
S4-5	hid	1	414	2311
S4-5	hid	2	454	2256
S4-5	hid	3	389	2278
S4-5	hid	4	415	2191
S4-1	head	1	652	1811
S4-1	head	2	638	1838
S4-1	head	3	656	2006
S4-1	head	4	547	1960
S4-2	head	1	509	1795
S4-2	head	2	409	1845
S4-2	head	3	563	2023
S4-2	head	4	473	1979
S4-3	head	1	609	2097
S4-3	head	2	721	2130
S4-3	head	3	720	2191
S4-3	head	4	706	1950
S4-4	head	1	518	1677
S4-4	head	2	444	1985
S4-4	head	3	523	1694
S4-4	head	4	515	1726
S4-5	head	1	682	1862
S4-5	head	2	737	1912
S4-5	head	3	704	1963
S4-5	head	4	673	2070
S4-1	had	1	821	1493
S4-1	had	2	845	1458
S4-1	had	3	713	1431
S4-1	had	4	875	1470
S4-2	had	1	889	1472
S4-2	had	2	805	1379
S4-2	had	3	755	1413
S4-2	had	4	839	1345
S4-3	had	1	1121	1712
S4-3	had	2	1021	1578
S4-3	had	3	1113	1724
S4-3	had	4	1127	1695
S4-4	had	1	963	1370
S4-4	had	2	1049	1459
S4-4	had	3	956	1292
S4-4	had	4	1009	1396
S4-5	had	1	786	1375
S4-5	had	2	839	1476
S4-5	had	3	931	1468
S4-5	had	4	870	1457
S4-1	hard	1	627	1052
S4-1	hard	2	593	1043
S4-1	hard	3	595	1109
S4-1	hard	4	635	1078
S4-2	hard	1	621	1033
S4-2	hard	2	570	1040
S4-2	hard	3	570	1007
S4-2	hard	4	503	970
S4-3	hard	1	574	994
S4-3	hard	2	587	996
S4-3	hard	3	455	986
S4-3	hard	4	570	989
S4-4	hard	1	531	1044
S4-4	hard	2	620	1092
S4-4	hard	3	637	1066
S4-4	hard	4	562	1081
S4-5	hard	1	668	1038
S4-5	hard	2	699	1027
S4-5	hard	3	762	1068
S4-5	hard	4	704	1090
S4-1	hod	1	517	900
S4-1	hod	2	518	994
S4-1	hod	3	526	886
S4-1	hod	4	526	850
S4-2	hod	1	486	870
S4-2	hod	2	486	873
S4-2	hod	3	470	872
S4-2	hod	4	443	907
S4-3	hod	1	457	797
S4-3	hod	2	490	816
S4-3	hod	3	508	890
S4-3	hod	4	496	811
S4-4	hod	1	452	830
S4-4	hod	2	451	782
S4-4	hod	3	454	826
S4-4	hod	4	433	891
S4-5	hod	1	520	878
S4-5	hod	2	410	851
S4-5	hod	3	486	855
S4-5	hod	4	533	919
S4-1	hoard	1	405	629
S4-1	hoard	2	389	644
S4-1	hoard	3	400	583
S4-1	hoard	4	396	561
S4-2	hoard	1	368	619
S4-2	hoard	2	370	714
S4-2	hoard	3	360	632
S4-2	hoard	4	353	637
S4-3	hoard	1	324	524
S4-3	hoard	2	367	573
S4-3	hoard	3	381	614
S4-3	hoard	4	391	571
S4-4	hoard	1	386	654
S4-4	hoard	2	335	570
S4-4	hoard	3	452	535
S4-4	hoard	4	469	654
S4-5	hoard	1	369	755
S4-5	hoard	2	419	540
S4-5	hoard	3	445	753
S4-5	hoard	4	454	830
S4-1	hood	1	454	1550
S4-1	hood	2	420	1741
S4-1	hood	3	409	1657
S4-1	hood	4	426	1610
S4-2	hood	1	400	1200
S4-2	hood	2	452	1332
S4-2	hood	3	423	1198
S4-2	hood	4	381	1158
S4-3	hood	1	421	1222
S4-3	hood	2	424	1150
S4-3	hood	3	446	1252
S4-3	hood	4	436	1174
S4-4	hood	1	353	1087
S4-4	hood	2	370	1100
S4-4	hood	3	369	1153
S4-4	hood	4	357	1281
S4-5	hood	1	453	1275
S4-5	hood	2	393	1223
S4-5	hood	3	417	1125
S4-5	hood	4	453	1245
S4-1	whod	1	331	1983
S4-1	whod	2	314	1956
S4-1	whod	3	311	1984
S4-1	whod	4	311	1796
S4-2	whod	1	307	1416
S4-2	whod	2	330	1545
S4-2	whod	3	251	1462
S4-2	whod	4	278	1314
S4-3	whod	1	294	1315
S4-3	whod	2	272	1527
S4-3	whod	3	250	1589
S4-3	whod	4	281	1576
S4-4	whod	1	297	1446
S4-4	whod	2	229	1241
S4-4	whod	3	262	1605
S4-4	whod	4	303	1589
S4-5	whod	1	332	1917
S4-5	whod	2	251	1660
S4-5	whod	3	268	1778
S4-5	whod	4	302	1627
S4-1	hud	1	592	1242
S4-1	hud	2	668	1163
S4-1	hud	3	690	1202
S4-1	hud	4	654	1195
S4-2	hud	1	539	1301
S4-2	hud	2	471	1239
S4-2	hud	3	537	1390
S4-2	hud	4	587	1347
S4-3	hud	1	922	1224
S4-3	hud	2	805	1191
S4-3	hud	3	805	1107
S4-3	hud	4	738	1124
S4-4	hud	1	500	1224
S4-4	hud	2	620	1107
S4-4	hud	3	587	1207
S4-4	hud	4	572	1218
S4-5	hud	1	670	1177
S4-5	hud	2	679	1155
S4-5	hud	3	784	1178
S4-5	hud	4	744	1170
S4-1	herd	1	590	1498
S4-1	herd	2	571	1537
S4-1	herd	3	520	1532
S4-1	herd	4	514	1545
S4-2	herd	1	479	1419
S4-2	herd	2	500	1399
S4-2	herd	3	420	1391
S4-2	herd	4	466	1417
S4-3	herd	1	462	1252
S4-3	herd	2	428	1224
S4-3	herd	3	464	1282
S4-3	herd	4	515	1278
S4-4	herd	1	461	1334
S4-4	herd	2	449	1273
S4-4	herd	3	431	1347
S4-4	herd	4	486	1344
S4-5	herd	1	537	1366
S4-5	herd	2	499	1364
S4-5	herd	3	533	1314
S4-5	herd	4	546	1332
