Group	Respondent	How did you like the course?	How did you like the teacher?	Was the content intersting?	Was the content adequate for the course?	Were there enough discussions?	Was the use of online materials appropriate?	Was the teacher appropriately prepared?	Was the workload of the course appropriate?	Was the course content enganging?	Were there enough interactive exerceises included in the sessions?
German	G1	4	4	4	4	4	4	4	4	4	4
German	G2	4	5	3	4	4	4	5	3	1	3
German	G3	5	3	4	2	4	3	4	4	3	1
German	G4	3	3	3	3	3	3	3	3	3	3
German	G5	1	1	1	1	1	1	1	1	1	1
German	G6	3	1	3	2	3	3	3	3	3	3
German	G7	5	3	4	2	4	3	3	4	4	5
German	G8	5	5	5	5	5	5	5	5	5	5
German	G9	5	1	3	3	4	4	5	5	3	1
German	G10	3	3	3	3	3	3	3	3	3	3
German	G11	4	2	4	1	4	4	4	5	1	1
German	G12	3	3	3	3	3	3	3	3	3	3
German	G13	5	5	5	5	5	5	5	5	5	5
German	G14	3	5	3	3	4	3	3	4	2	4
German	G15	4	2	3	1	4	4	4	3	2	2
German	G16	5	5	5	5	5	5	5	5	5	5
German	G17	4	4	4	4	4	4	4	4	4	4
German	G18	5	5	5	1	5	5	5	5	3	2
German	G19	1	1	1	1	1	1	1	1	1	1
German	G20	5	5	5	5	5	5	5	5	5	5
German	G21	5	5	5	5	5	5	5	5	5	5
German	G22	3	2	4	1	3	3	3	4	1	1
German	G23	2	1	4	1	4	3	4	5	1	1
German	G24	4	3	4	1	5	4	4	4	1	1
German	G25	5	5	5	5	5	5	5	5	5	5
German	G26	4	4	4	4	4	4	4	4	4	4
German	G27	3	3	4	3	4	3	4	4	3	3
German	G28	4	3	4	2	4	4	4	5	2	1
German	G29	5	5	5	5	5	5	5	5	5	5
German	G30	4	2	1	2	3	3	3	4	2	3
German	G31	5	3	4	4	5	4	5	5	1	3
German	G32	3	3	5	2	3	4	4	4	1	1
German	G33	5	3	4	3	4	2	5	3	1	1
German	G34	3	3	3	3	3	3	3	3	3	3
German	G35	4	4	4	4	4	4	4	4	4	4
German	G36	3	3	3	3	3	3	3	3	3	3
German	G37	4	2	4	1	4	5	4	4	3	2
German	G38	4	4	4	4	4	4	4	4	4	4
German	G39	5	3	2	1	4	5	5	3	1	5
German	G40	1	3	2	2	1	3	1	2	2	2
Russian	J1	2	3	4	2	3	3	2	4	4	2
Russian	J2	2	2	1	5	1	2	3	2	2	3
Russian	J3	4	2	3	4	3	2	3	2	3	2
Russian	J4	4	3	4	3	4	3	4	3	3	2
Russian	J5	4	4	4	2	2	2	3	3	3	2
Russian	J6	2	2	2	4	3	2	2	2	3	3
Russian	J7	4	4	4	4	4	4	4	4	3	3
Russian	J8	4	3	4	3	3	3	4	5	3	2
Russian	J9	5	5	4	3	4	4	4	4	4	1
Russian	J10	4	5	4	5	3	5	3	4	5	2
Russian	J11	4	3	4	2	4	3	4	4	2	2
Russian	J12	4	4	2	4	2	4	4	2	4	2
Russian	J13	3	4	4	2	3	4	4	4	4	2
Russian	J14	3	3	3	2	3	3	3	3	2	3
Russian	J15	5	5	5	1	5	5	5	5	1	1
Russian	J16	4	4	3	3	3	4	3	4	3	2
Russian	J17	5	3	3	3	2	4	4	5	3	1
Russian	J18	4	3	4	3	4	3	4	4	3	2
Russian	J19	4	4	4	4	4	4	4	4	4	4
Russian	J20	5	5	5	5	5	5	5	5	5	5
