Respondent	Q01_Outgoing	Q02_Outgoing	Q03_Outgoing	Q04_Outgoing	Q05_Outgoing	Q06_Intelligence	Q07_Intelligence	Q08_Intelligence	Q09_Intelligence	Q10_Intelligence	Q11_Attitude	Q12_Attitude	Q13_Attitude	Q14_Attitude	Q15_Attitude
Respondent_01	4	5	4	4	5	2	3	3	2	2	3	1	2	3	1
Respondent_02	5	4	5	4	4	2	2	2	1	2	3	3	3	3	3
Respondent_03	5	4	4	5	5	2	1	1	2	2	4	3	4	2	4
Respondent_04	5	5	5	4	5	1	1	1	1	1	3	4	3	3	2
Respondent_05	4	5	4	5	5	2	2	1	2	1	2	3	4	3	3
Respondent_06	5	5	5	5	4	2	2	2	2	2	4	3	3	4	3
Respondent_07	4	5	4	5	5	1	2	2	2	1	3	3	3	3	3
Respondent_08	4	4	5	4	5	2	1	3	2	2	3	4	3	3	3
Respondent_09	5	5	4	4	4	2	2	2	2	2	3	3	2	3	3
Respondent_10	4	5	5	4	4	2	1	2	1	1	2	3	3	3	2
Respondent_11	4	4	4	5	5	2	2	2	2	2	3	3	2	3	3
Respondent_12	5	5	5	4	5	2	2	2	1	3	3	3	4	3	3
Respondent_13	3	4	3	5	4	1	2	3	1	2	3	4	3	3	3
Respondent_14	4	4	4	4	5	2	2	1	2	1	3	3	3	3	4
Respondent_15	4	5	4	5	5	1	2	2	2	2	3	3	2	2	2
Respondent_16	5	5	5	5	5	2	3	2	1	1	3	4	3	3	4
Respondent_17	4	5	4	5	5	2	2	2	2	2	3	3	2	2	2
Respondent_18	5	4	5	4	4	1	2	2	2	1	2	3	3	3	3
Respondent_19	4	5	4	5	5	2	1	1	1	1	3	2	2	3	2
Respondent_20	5	5	5	4	5	2	3	2	2	3	3	3	3	3	3
