file.speaker.id	sex	age	wc	freq	ptw	txttype	ages
<S1A-001$A>	male	34-41	765	0	0	S1A	34-41
<S1A-001$B>	female	34-41	1298	0	0	S1A	34-41
<S1A-002$A>	female	26-33	391	0	0	S1A	19-33
<S1A-002$C>	male	50+	200	0	0	S1A	42+
<S1A-002$D>	female	50+	464	0	0	S1A	42+
<S1A-002$E>	male	34-41	639	0	0	S1A	34-41
<S1A-002$F>	female	26-33	308	0	0	S1A	19-33
<S1A-003$A>	male	34-41	532	0	0	S1A	34-41
<S1A-003$B>	female	26-33	447	0	0	S1A	19-33
<S1A-003$C>	female	19-25	480	0	0	S1A	19-33
<S1A-003$D>	female	50+	276	0	0	S1A	42+
<S1A-003$E>	female	26-33	403	0	0	S1A	19-33
<S1A-003$F>	male	19-25	183	0	0	S1A	19-33
<S1A-004$A>	female	50+	1280	0	0	S1A	42+
<S1A-004$B>	female	50+	525	0	0	S1A	42+
<S1A-004$C>	female	50+	355	0	0	S1A	42+
<S1A-005$A>	male	34-41	689	0	0	S1A	34-41
<S1A-005$B>	male	26-33	1075	10	9	S1A	19-33
<S1A-005$C>	female	26-33	277	1	4	S1A	19-33
<S1A-006$A>	female	26-33	1051	0	0	S1A	19-33
<S1A-006$B>	female	34-41	769	0	0	S1A	34-41
<S1A-006$C>	female	34-41	279	0	0	S1A	34-41
<S1A-006$D>	female	26-33	194	0	0	S1A	19-33
<S1A-006$E>	female	26-33	135	0	0	S1A	19-33
<S1A-007$A>	female	34-41	658	0	0	S1A	34-41
<S1A-007$B>	female	34-41	941	0	0	S1A	34-41
<S1A-007$C>	female	34-41	142	0	0	S1A	34-41
<S1A-007$D>	female	26-33	195	0	0	S1A	19-33
<S1A-007$E>	female	26-33	235	0	0	S1A	19-33
<S1A-007$F>	female	26-33	168	0	0	S1A	19-33
<S1A-008$A>	female	50+	308	0	0	S1A	42+
<S1A-008$B>	female	50+	456	0	0	S1A	42+
<S1A-008$C>	female	50+	753	0	0	S1A	42+
<S1A-008$D>	female	50+	410	0	0	S1A	42+
<S1A-009$A>	female	50+	964	0	0	S1A	42+
<S1A-009$B>	female	50+	620	0	0	S1A	42+
<S1A-010$A>	female	26-33	384	2	5	S1A	19-33
<S1A-010$B>	female	26-33	510	0	0	S1A	19-33
<S1A-010$C>	female	26-33	530	0	0	S1A	19-33
<S1A-010$D>	female	26-33	149	0	0	S1A	19-33
<S1A-011$A>	female	26-33	497	2	4	S1A	19-33
<S1A-014$A>	female	19-25	155	0	0	S1A	19-33
<S1A-014$B>	female	19-25	824	1	1	S1A	19-33
<S1A-014$C>	male	19-25	602	2	3	S1A	19-33
