Age	Gender	Status	LikeUser
15-40	female	high	no
15-40	female	high	no
15-40	male	high	no
41-80	female	low	yes
41-80	male	high	no
41-80	male	low	no
41-80	female	low	yes
15-40	male	high	no
41-80	male	low	no
41-80	male	low	no
15-40	female	low	yes
41-80	male	low	no
15-40	male	low	yes
41-80	female	low	no
15-40	female	low	yes
41-80	male	high	no
15-40	female	high	yes
15-40	male	high	yes
41-80	male	high	no
41-80	male	low	no
15-40	female	low	yes
15-40	male	low	no
15-40	female	low	yes
15-40	male	low	yes
41-80	male	low	yes
15-40	female	low	yes
41-80	female	low	no
15-40	female	high	yes
41-80	female	high	yes
41-80	male	high	no
15-40	female	low	no
15-40	male	low	yes
41-80	female	low	no
15-40	male	high	yes
41-80	male	low	no
15-40	female	low	no
41-80	female	low	yes
15-40	male	high	yes
41-80	male	low	no
15-40	male	high	yes
15-40	female	low	no
41-80	male	high	no
41-80	female	low	yes
41-80	female	low	yes
15-40	male	high	yes
15-40	female	high	yes
15-40	male	low	yes
15-40	female	high	yes
41-80	male	low	no
41-80	male	low	no
41-80	male	low	no
15-40	female	low	yes
15-40	male	high	yes
15-40	female	low	yes
41-80	female	low	yes
15-40	female	high	yes
41-80	female	high	yes
15-40	female	low	yes
41-80	male	low	no
15-40	female	high	yes
41-80	male	high	no
15-40	female	low	yes
15-40	female	low	yes
41-80	male	low	no
15-40	female	high	yes
41-80	female	low	no
15-40	female	high	yes
41-80	female	low	no
15-40	male	high	yes
15-40	male	high	yes
15-40	female	high	yes
15-40	male	high	no
41-80	male	low	no
41-80	female	low	no
41-80	male	low	no
41-80	female	high	yes
41-80	male	low	no
15-40	female	low	no
15-40	female	high	yes
15-40	female	low	no
41-80	male	low	no
15-40	female	high	yes
41-80	female	low	yes
15-40	female	low	yes
15-40	male	high	yes
41-80	female	low	yes
41-80	female	low	no
15-40	male	low	no
15-40	male	high	yes
41-80	female	high	yes
15-40	male	low	yes
41-80	male	low	no
15-40	female	low	no
41-80	male	high	no
41-80	male	high	yes
15-40	male	high	no
15-40	male	low	no
15-40	male	low	no
41-80	male	low	no
15-40	female	low	yes
41-80	female	high	no
41-80	female	low	yes
15-40	female	high	yes
41-80	female	high	yes
15-40	male	low	yes
41-80	male	high	no
15-40	female	low	yes
15-40	male	low	yes
15-40	male	high	yes
15-40	male	low	yes
41-80	female	low	yes
15-40	female	high	yes
41-80	female	low	yes
41-80	female	low	no
41-80	male	low	no
15-40	female	high	yes
15-40	female	high	yes
41-80	female	low	yes
41-80	male	low	no
41-80	male	high	no
15-40	female	high	yes
15-40	male	high	yes
15-40	male	low	yes
41-80	female	high	yes
41-80	female	low	no
41-80	male	high	no
41-80	female	low	no
41-80	female	high	yes
41-80	female	low	yes
41-80	male	low	no
15-40	female	low	yes
41-80	male	low	no
41-80	male	low	no
15-40	female	high	yes
15-40	male	low	yes
15-40	female	high	no
15-40	male	low	yes
41-80	male	low	yes
41-80	male	high	no
41-80	male	low	no
15-40	male	high	yes
41-80	female	high	yes
41-80	female	low	yes
41-80	female	low	no
41-80	male	low	no
15-40	male	high	yes
15-40	male	low	no
15-40	male	low	no
41-80	female	low	no
15-40	female	high	yes
15-40	female	low	no
41-80	female	high	no
41-80	male	low	no
15-40	female	high	yes
41-80	male	low	yes
41-80	male	low	no
15-40	female	low	no
41-80	female	low	yes
15-40	female	high	yes
15-40	female	high	yes
41-80	female	low	no
41-80	male	low	no
41-80	female	low	no
15-40	female	low	no
15-40	female	high	yes
15-40	female	low	yes
15-40	female	high	yes
41-80	male	high	no
41-80	female	high	yes
41-80	male	high	no
15-40	female	low	no
15-40	male	low	no
41-80	male	low	no
41-80	female	low	yes
15-40	female	low	no
41-80	female	high	no
15-40	male	low	no
41-80	female	low	no
15-40	female	low	no
15-40	female	high	yes
15-40	female	high	yes
41-80	female	high	no
15-40	male	high	no
15-40	female	high	yes
41-80	female	low	yes
41-80	male	high	no
41-80	male	high	yes
41-80	male	low	no
15-40	male	high	no
15-40	female	high	yes
15-40	male	high	yes
15-40	female	high	yes
41-80	male	high	yes
41-80	male	high	no
15-40	male	low	yes
41-80	female	low	no
41-80	male	low	no
41-80	male	low	no
15-40	female	low	yes
41-80	male	high	yes
41-80	female	low	yes
15-40	female	high	yes
41-80	male	low	no
15-40	female	low	yes
15-40	male	low	yes
15-40	female	low	yes
15-40	male	high	yes
41-80	male	high	no
41-80	male	low	no
41-80	male	low	no
15-40	male	high	yes
15-40	male	high	yes
15-40	female	high	yes
15-40	male	low	no
41-80	female	high	yes
41-80	female	low	no
41-80	female	low	yes
15-40	female	high	yes
41-80	female	low	no
15-40	female	high	yes
15-40	male	low	yes
15-40	female	high	no
41-80	male	low	no
41-80	male	low	no
41-80	male	high	yes
15-40	female	high	yes
41-80	male	high	no
41-80	male	low	no
15-40	female	low	yes
15-40	female	low	yes
41-80	female	low	no
15-40	female	high	yes
15-40	female	high	yes
15-40	female	low	yes
41-80	female	low	yes
41-80	female	low	no
41-80	male	low	no
41-80	female	high	yes
15-40	male	low	no
41-80	female	low	yes
41-80	male	low	no
15-40	male	high	no
41-80	male	low	no
15-40	female	high	yes
41-80	female	high	no
15-40	female	low	no
41-80	female	low	yes
15-40	male	high	yes
41-80	female	low	no
15-40	female	high	yes
15-40	male	high	yes
