"Country.or.Area"	"Year"	"Value"
"Åland Islands"	"2017"	29351.5
"Åland Islands"	"2017"	14643.5
"Åland Islands"	"2017"	14708
"Åland Islands"	"2017"	11621
"Åland Islands"	"2017"	5583
"Åland Islands"	"2017"	6038
"Åland Islands"	"2017"	17730.5
"Åland Islands"	"2017"	9060.5
"Åland Islands"	"2017"	8670
"Albania"	"2017"	2876591
"Albania"	"2017"	1453541
"Albania"	"2017"	1423050
"Argentina"	"2017"	44044811
"Argentina"	"2017"	21595623
"Argentina"	"2017"	22449188
"Argentina"	"2017"	40410715
"Argentina"	"2017"	19664392
"Argentina"	"2017"	20746323
"Argentina"	"2017"	3634096
"Argentina"	"2017"	1931231
"Argentina"	"2017"	1702865
"Armenia"	"2017"	2986151
"Armenia"	"2017"	1418771
"Armenia"	"2017"	1567380
"Aruba"	"2017"	110848
"Aruba"	"2017"	52544
"Aruba"	"2017"	58304
"Australia"	"2017"	24598933
"Australia"	"2017"	12204419
"Australia"	"2017"	12394514
"Austria"	"2017"	8772865
"Austria"	"2017"	4312441
"Austria"	"2017"	4460424
"Azerbaijan"	"2017"	9809981
"Azerbaijan"	"2017"	4891210
"Azerbaijan"	"2017"	4918771
"Bahrain"	"2017"	1501116
"Bahrain"	"2017"	951312
"Bahrain"	"2017"	549804
"Belarus"	"2017"	9504704
"Belarus"	"2017"	4426519
"Belarus"	"2017"	5078185
"Belarus"	"2017"	7400832
"Belarus"	"2017"	3414000
"Belarus"	"2017"	3986832
"Belarus"	"2017"	2103872
"Belarus"	"2017"	1012519
"Belarus"	"2017"	1091353
"Belgium"	"2017"	11351727
"Belgium"	"2017"	5589272
"Belgium"	"2017"	5762455
"Bermuda"	"2017"	61658
"Bermuda"	"2017"	29447
"Bermuda"	"2017"	32211
"Bhutan"	"2017"	727145
"Bhutan"	"2017"	380453
"Bhutan"	"2017"	346692
"Bhutan"	"2017"	274316
"Bhutan"	"2017"	143313
"Bhutan"	"2017"	131003
"Bhutan"	"2017"	452829
"Bhutan"	"2017"	237140
"Bhutan"	"2017"	215689
"Bulgaria"	"2017"	7101859
"Bulgaria"	"2017"	3449978
"Bulgaria"	"2017"	3651881
"Bulgaria"	"2017"	5204385
"Bulgaria"	"2017"	2506628
"Bulgaria"	"2017"	2697757
"Bulgaria"	"2017"	1897474
"Bulgaria"	"2017"	943350
"Bulgaria"	"2017"	954124
"Canada"	"2017"	36708083
"Canada"	"2017"	18207841
"Canada"	"2017"	18500242
"Cayman Islands"	"2017"	63415
"Cayman Islands"	"2017"	32212
"Cayman Islands"	"2017"	31203
"Chile"	"2017"	18373917
"Chile"	"2017"	9092950
"Chile"	"2017"	9280967
"Chile"	"2017"	16063564
"Chile"	"2017"	7883072
"Chile"	"2017"	8180492
"Chile"	"2017"	2310353
"Chile"	"2017"	1209878
"Chile"	"2017"	1100475
"China, Hong Kong SAR"	"2017"	7391700
"China, Hong Kong SAR"	"2017"	3392500
"China, Hong Kong SAR"	"2017"	3999200
"Costa Rica"	"2017"	4946700
"Costa Rica"	"2017"	2405636
"Costa Rica"	"2017"	2541064
"Costa Rica"	"2017"	3592070
"Costa Rica"	"2017"	1722499
"Costa Rica"	"2017"	1869571
"Costa Rica"	"2017"	1354630
"Costa Rica"	"2017"	683137
"Costa Rica"	"2017"	671493
"Croatia"	"2017"	4154213
"Croatia"	"2017"	2005210
"Croatia"	"2017"	2149003
"Cuba"	"2017"	11230142
"Cuba"	"2017"	5591525
"Cuba"	"2017"	5638617
"Cuba"	"2017"	8642753.5
"Cuba"	"2017"	4204315.5
"Cuba"	"2017"	4438438
"Cuba"	"2017"	2587388.5
"Cuba"	"2017"	1387209.5
"Cuba"	"2017"	1200179
"Curaçao"	"2017"	160175
"Curaçao"	"2017"	73246
"Curaçao"	"2017"	86929
"Czechia"	"2017"	10578820
"Czechia"	"2017"	5200687
"Czechia"	"2017"	5378133
"Czechia"	"2017"	7731256
"Czechia"	"2017"	3765692
"Czechia"	"2017"	3965564
"Czechia"	"2017"	2847564
"Czechia"	"2017"	1434995
"Czechia"	"2017"	1412569
"Denmark"	"2017"	5760694
"Denmark"	"2017"	2866952
"Denmark"	"2017"	2893742
"Egypt"	"2017"	94798827
"Egypt"	"2017"	48891518
"Egypt"	"2017"	45907309
"El Salvador"	"2017"	6581940
"El Salvador"	"2017"	3098633
"El Salvador"	"2017"	3483307
"Estonia"	"2017"	1315635
"Estonia"	"2017"	617538
"Estonia"	"2017"	698097
"Estonia"	"2017"	899283
"Estonia"	"2017"	406016
"Estonia"	"2017"	493267
"Estonia"	"2017"	415180
"Estonia"	"2017"	210954
"Estonia"	"2017"	204226
"Faeroe Islands"	"2017"	49864
"Faeroe Islands"	"2017"	50216
"Faeroe Islands"	"2017"	25728
"Faeroe Islands"	"2017"	25886
"Faeroe Islands"	"2017"	24136
"Faeroe Islands"	"2017"	24330
"Faeroe Islands"	"2017"	19249
"Faeroe Islands"	"2017"	9672
"Faeroe Islands"	"2017"	9577
"Faeroe Islands"	"2017"	30967
"Faeroe Islands"	"2017"	16214
"Faeroe Islands"	"2017"	14753
"Fiji"	"2017"	884887
"Fiji"	"2017"	448595
"Fiji"	"2017"	436292
"Fiji"	"2017"	494252
"Fiji"	"2017"	245928
"Fiji"	"2017"	248324
"Fiji"	"2017"	390635
"Fiji"	"2017"	202667
"Fiji"	"2017"	187968
"Finland"	"2017"	5503297
"Finland"	"2017"	2712327
"Finland"	"2017"	2790970
"France"	"2017"	64909596
"France"	"2017"	64801096
"France"	"2017"	32454483.5
"France"	"2017"	33408686
"France"	"2017"	32455112.5
"France"	"2017"	31392410
"Georgia"	"2017"	3718200
"Georgia"	"2017"	1781500
"Georgia"	"2017"	1936700
"Germany"	"2017"	82521653
"Germany"	"2017"	40697118
"Germany"	"2017"	41824535
"Greece"	"2017"	10768193
"Greece"	"2017"	5221277
"Greece"	"2017"	5546916
"Greenland"	"2017"	56171
"Greenland"	"2017"	29651
"Greenland"	"2017"	26520
"Greenland"	"2017"	48527
"Greenland"	"2017"	25435
"Greenland"	"2017"	23092
"Greenland"	"2017"	7644
"Greenland"	"2017"	4216
"Greenland"	"2017"	3428
"Grenada"	"2017"	111467
"Grenada"	"2017"	56222
"Grenada"	"2017"	55245
"Guadeloupe"	"2017"	393640
"Guadeloupe"	"2017"	180409
"Guadeloupe"	"2017"	213231
"Guam"	"2017"	163875
"Guam"	"2017"	82951
"Guam"	"2017"	80924
"Guernsey"	"2017"	62193
"Guernsey"	"2017"	30799
"Guernsey"	"2017"	31394
"Hungary"	"2017"	9797561
"Hungary"	"2017"	4675291
"Hungary"	"2017"	5122270
"Iceland"	"2017"	338349
"Iceland"	"2017"	171033
"Iceland"	"2017"	167316
"Ireland"	"2017"	4784383
"Ireland"	"2017"	4792488
"Ireland"	"2017"	2367918
"Ireland"	"2017"	2372108
"Ireland"	"2017"	2416465
"Ireland"	"2017"	2420380
"Italy"	"2017"	60589445
"Italy"	"2017"	29445741
"Italy"	"2017"	31143704
"Jamaica"	"2017"	2728915
"Jamaica"	"2017"	1351375
"Jamaica"	"2017"	1377540
"Japan"	"2017"	126786000
"Japan"	"2017"	61681000
"Japan"	"2017"	65105000
"Kazakhstan"	"2017"	18037776
"Kazakhstan"	"2017"	8729888
"Kazakhstan"	"2017"	9307888
"Kazakhstan"	"2017"	10336836
"Kazakhstan"	"2017"	4868292
