subject	file	item	trial	F1	F2
ms	vowels	had	1	717.33607	1868.175427
ms	vowels	had	2	743.483462	1903.715225
ms	vowels	had	3	720.973991	1938.69279
ms	vowels	hard	1	734.527473	1493.328918
ms	vowels	hard	2	832.922804	1407.824706
ms	vowels	hard	3	797.284207	1498.206365
ms	vowels	head	1	610.894333	2062.882002
ms	vowels	head	2	722.251868	2130.632179
ms	vowels	head	3	625.111709	2009.65073
ms	vowels	heed	1	263.382964	2833.001674
ms	vowels	heed	2	301.417588	2745.84707
ms	vowels	heed	3	286.96557	2822.598805
ms	vowels	herd	1	532.792463	1704.995395
ms	vowels	herd	2	537.796188	1819.891642
ms	vowels	herd	3	524.713714	1704.232122
ms	vowels	hid	1	451.876599	2390.799614
ms	vowels	hid	2	417.033045	2483.389953
ms	vowels	hid	3	410.681731	2360.038236
ms	vowels	hoard	1	540.330631	951.144344
ms	vowels	hoard	2	549.92048	927.095558
ms	vowels	hoard	3	648.048222	1093.346613
ms	vowels	hod	1	698.406882	1144.46685
ms	vowels	hod	2	615.162079	1086.447865
ms	vowels	hod	3	751.018999	1452.466334
ms	vowels	hood	1	431.299339	1478.192998
ms	vowels	hood	2	404.18844	1453.1036
ms	vowels	hood	3	470.146946	1216.302702
ms	vowels	hud	1	646.051365	1700.003028
ms	vowels	hud	2	622.53022	1510.451378
ms	vowels	hud	3	749.353953	1581.757811
ms	vowels	whod	1	346.88118	1013.000682
ms	vowels	whod	2	353.826456	1285.834128
ms	vowels	whod	3	366.813688	1016.979961
