Amplifier	Adjective
0	serious
0	sure
so	many
0	many
0	good
0	much
0	good
0	good
0	last
0	nice
0	competitive
0	simple
very	good
0	good
0	small
0	sad
0	real
0	new
0	big
so	many
very	comfortable
0	hard
0	new
0	new
0	great
0	last
0	many
0	total
0	good
0	big
0	strong
0	clear
0	new
0	real
0	last
0	big
0	strong
0	many
0	like
0	long
0	bad
0	easy
0	much
0	much
0	different
really	nice
0	long
0	big
0	useful
really	serious
0	fantastic
0	dominant
0	good
0	expensive
0	old
0	serious
0	old
0	lucky
0	original
0	little
0	dark
0	last
0	comfortable
0	last
0	much
really	good
0	late
0	long
very	large
0	new
0	sure
0	last
0	last
really	bad
0	wrong
very	simple
0	sure
0	last
0	real
0	big
0	little
0	obvious
0	healthy
0	different
0	sure
0	small
0	strong
0	slow
0	bloody
0	friendly
very	nice
0	hot
0	exciting
0	little
0	lucky
0	same
0	bad
0	large
very	weak
0	different
0	relevant
so	many
0	long
0	last
0	sure
0	great
0	same
0	little
0	weak
0	strong
0	open
0	much
0	aware
0	open
0	deep
0	little
0	good
0	last
0	same
0	last
0	young
0	last
0	second
0	good
0	interesting
0	high
0	special
0	last
0	young
very	early
0	dark
really	keen
0	last
0	last
0	important
0	different
0	funny
0	obvious
0	bad
0	fantastic
0	little
0	bad
0	high
0	great
0	last
0	much
0	same
0	high
0	real
0	real
0	little
very	comfortable
0	last
0	interested
0	many
0	many
0	large
0	new
0	bloody
0	bad
0	great
0	many
0	last
0	aggressive
0	great
0	good
0	stupid
0	sure
0	great
0	little
0	little
0	much
0	same
0	great
0	wrong
0	open
0	hard
0	little
0	many
0	early
0	true
0	last
0	bad
0	great
0	good
0	last
0	real
0	hard
very	nervous
0	wonderful
0	different
0	great
0	small
0	last
0	funny
0	last
really	nice
0	different
0	middle
0	deep
very	hard
0	good
0	old
0	same
0	last
0	real
0	similar
0	little
0	special
0	same
0	nice
0	total
0	interested
very	effective
0	little
0	many
0	simple
0	little
0	sure
0	last
0	nice
0	big
0	many
0	little
bloody	good
0	real
0	hard
0	dark
0	good
0	much
0	last
0	like
really	nice
0	high
0	second
so	many
really	good
0	hot
0	obvious
0	great
very	old
0	clear
0	funny
0	wonderful
0	good
0	good
absolutely	fantastic
0	good
0	many
really	different
0	same
0	wrong
0	little
really	easy
so	little
0	big
0	real
0	long
0	same
0	last
0	serious
extremely	difficult
0	long
very	difficult
very	happy
0	second
0	clever
0	big
very	long
0	new
0	many
0	long
0	last
so	prominent
really	good
0	happy
0	much
0	second
0	simple
0	early
very	hard
0	last
0	serious
0	sorry
0	young
0	great
0	bad
0	important
0	last
0	hard
0	big
very	sensitive
0	real
0	much
0	tough
0	high
0	great
0	much
0	good
0	like
0	last
0	last
0	same
0	new
0	last
so	much
0	many
0	early
0	same
0	sure
0	new
0	similar
0	last
0	open
0	significant
0	bad
0	small
0	second
0	big
very	difficult
0	good
0	many
0	second
0	beautiful
0	many
0	vivid
0	last
0	same
0	long
0	good
0	small
0	same
0	much
0	little
0	middle
0	good
0	little
0	great
0	last
0	little
particularly	good
0	real
0	little
0	good
really	nice
extremely	difficult
0	new
0	different
0	real
0	hard
really	grateful
0	different
0	smooth
really	relevant
0	great
0	good
0	small
0	green
0	old
0	many
0	late
0	good
0	good
0	little
